"",BBDP1.M.DE.N.EPG.G.GP09SA000000.I15.L,BBDP1.M.DE.N.EPG.G.GP09SA000000.I15.L_FLAGS,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L_FLAGS
2011-08,101.8,,101.8,
2011-09,102.0,,102.0,
2011-10,102.2,,102.2,
2011-11,102.1,,102.2,
2011-12,101.6,,101.7,
2012-01,102.1,,102.2,
2012-02,102.5,,102.6,
2012-03,103.1,,103.1,
2012-04,103.3,,103.2,
2012-05,103.0,,102.9,
2012-06,102.6,,102.6,
2012-07,102.6,,102.5,
2012-08,103.0,,102.9,
2012-09,103.3,,103.3,
2012-10,103.4,,103.4,
2012-11,103.4,,103.5,
2012-12,103.1,,103.2,
2013-01,103.7,,103.8,
2013-02,103.5,,103.5,
2013-03,103.2,,103.2,
2013-04,103.1,,103.0,
2013-05,102.8,,102.8,
2013-06,102.7,,102.6,
2013-07,102.6,,102.5,
2013-08,102.5,,102.5,
2013-09,102.8,,102.8,
2013-10,102.6,,102.6,
2013-11,102.5,,102.6,
2013-12,102.6,,102.8,
2014-01,102.5,,102.6,
2014-02,102.5,,102.6,
2014-03,102.2,,102.2,
2014-04,102.1,,102.0,
2014-05,101.9,,101.8,
2014-06,101.9,,101.8,
2014-07,101.8,,101.7,
2014-08,101.7,,101.6,
2014-09,101.7,,101.7,
2014-10,101.6,,101.6,
2014-11,101.6,,101.7,
2014-12,100.9,,101.1,
2015-01,100.3,,100.4,
2015-02,100.4,,100.5,
2015-03,100.5,,100.5,
2015-04,100.6,,100.5,
2015-05,100.6,,100.5,
2015-06,100.5,,100.4,
2015-07,100.5,,100.4,
2015-08,100.0,,99.9,
2015-09,99.7,,99.7,
2015-10,99.3,,99.3,
2015-11,99.0,,99.1,
2015-12,98.6,,98.8,
2016-01,98.0,,98.0,
2016-02,97.6,,97.7,
2016-03,97.5,,97.5,
2016-04,97.7,,97.6,
2016-05,98.1,,98.0,
2016-06,98.4,,98.3,
2016-07,98.6,,98.5,
2016-08,98.5,,98.4,
2016-09,98.4,,98.4,
2016-10,98.8,,98.8,
2016-11,99.1,,99.3,
2016-12,99.6,,99.9,
2017-01,100.3,,100.3,
2017-02,100.5,,100.6,
2017-03,100.6,,100.6,
2017-04,100.9,,100.8,
2017-05,100.8,,100.7,
2017-06,100.8,,100.7,
2017-07,101.0,,100.9,
2017-08,101.1,,101.0,
2017-09,101.5,,101.5,
2017-10,101.6,,101.7,
2017-11,101.7,,101.8,
2017-12,101.9,,102.1,
2018-01,102.4,,102.4,
2018-02,102.3,,102.3,
2018-03,102.4,,102.4,
2018-04,102.8,,102.7,
2018-05,103.3,,103.1,
2018-06,103.7,,103.6,
2018-07,103.9,,103.8,
2018-08,104.2,,104.1,
2018-09,104.7,,104.7,
2018-10,105.0,,105.0,
2018-11,105.1,,105.3,
2018-12,104.7,,104.9,
2019-01,105.1,,105.1,
2019-02,105.0,,105.0,
2019-03,104.9,,104.9,
2019-04,105.4,,105.2,
2019-05,105.3,,105.1,
2019-06,104.9,,104.8,
2019-07,105.0,,104.9,
2019-08,104.5,,104.5,
2019-09,104.6,,104.6,
2019-10,104.4,,104.4,
2019-11,104.4,,104.6,
2019-12,104.5,,104.7,
2020-01,105.3,,105.3,
2020-02,104.9,,104.9,
2020-03,104.1,,104.1,
2020-04,103.4,,103.2,
2020-05,103.0,,102.8,
2020-06,103.0,,102.8,
2020-07,103.2,,103.1,
2020-08,103.2,,103.2,
2020-09,103.6,,103.6,
2020-10,103.7,,103.8,
2020-11,103.9,,104.1,
2020-12,104.7,,104.9,
2021-01,106.2,,106.2,
2021-02,106.9,,106.9,
2021-03,107.9,,107.8,
2021-04,108.8,,108.7,
2021-05,110.4,,110.3,
2021-06,111.8,,111.6,
2021-07,113.9,,113.8,
2021-08,115.6,,115.5,
2021-09,118.3,,118.3,
2021-10,122.8,,122.9,
2021-11,123.8,,124.0,
2021-12,130.0,,130.3,
2022-01,132.8,,132.8,
2022-02,134.6,,134.6,
2022-03,141.2,,141.1,
2022-04,145.2,,145.0,
2022-05,147.5,,147.3,
"",,,Source: Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,
