"",BBNZ1.Q.DE.S.H.0016.A,BBNZ1.Q.DE.S.H.0016.A_FLAGS,BBNZ1.Q.DE.S.G.0019.A,BBNZ1.Q.DE.S.G.0019.A_FLAGS,BBNZ1.Q.DE.S.H.0024.A,BBNZ1.Q.DE.S.H.0024.A_FLAGS,BBNZ1.Q.DE.S.G.0024.A,BBNZ1.Q.DE.S.G.0024.A_FLAGS
"",Germany/Labour productivity per hour worked by persons in employment / Whole economy/Chain-linked index/Seasonally adjusted only,,Germany/Compensation of employees per hour worked by employees / Whole economy/At current prices/Seasonally adjusted only,,Germany/Unit labor costs per unit of turnover on an hourly basis / Whole economy/Chain-linked index/Seasonally adjusted only,,Germany/Unit labor costs per unit of turnover on an hourly basis / Whole economy/At current prices/Seasonally adjusted only,
unit,2015=100,,2015=100,,2015=100,,2015=100,
unit multiplier,one,,one,,one,,one,
last update,2022-02-25 08:09:06,,2022-02-25 08:08:48,,2022-02-25 08:09:07,,2022-02-25 08:08:48,
1991-01,72.65,,51.59,,71.01,,101.88,
1991-04,72.92,,54.03,,74.09,,103.98,
1991-07,73.44,,54.85,,74.69,,104.18,
1991-10,74.31,,56.18,,75.60,,103.23,
1992-01,75.05,,56.88,,75.79,,102.54,
1992-04,74.61,,58.53,,78.45,,104.65,
1992-07,75.35,,60.79,,80.68,,106.72,
1992-10,75.77,,61.04,,80.56,,105.13,
1993-01,76.04,,61.71,,81.15,,105.04,
1993-04,76.36,,62.80,,82.24,,105.09,
1993-07,77.07,,63.39,,82.25,,105.04,
1993-10,77.13,,64.06,,83.05,,105.22,
1994-01,78.04,,64.54,,82.70,,104.20,
1994-04,78.44,,64.72,,82.51,,103.70,
1994-07,78.73,,65.08,,82.66,,103.42,
1994-10,79.37,,66.14,,83.33,,103.78,
1995-01,79.05,,65.93,,83.40,,103.37,
1995-04,80.04,,67.77,,84.67,,104.07,
1995-07,79.77,,68.05,,85.31,,104.47,
1995-10,80.46,,69.05,,85.82,,104.94,
1996-01,80.29,,68.79,,85.68,,104.74,
1996-04,80.94,,68.70,,84.88,,103.79,
1996-07,81.13,,68.89,,84.91,,103.69,
1996-10,82.38,,70.05,,85.03,,103.78,
1997-01,82.73,,71.36,,86.26,,105.16,
1997-04,82.84,,69.07,,83.38,,101.90,
1997-07,83.11,,69.49,,83.61,,101.62,
1997-10,83.98,,70.53,,83.98,,102.16,
1998-01,84.74,,70.76,,83.50,,101.49,
1998-04,84.07,,71.23,,84.73,,102.52,
1998-07,83.96,,70.84,,84.37,,102.03,
1998-10,83.30,,70.93,,85.15,,102.63,
1999-01,84.75,,71.96,,84.91,,102.41,
1999-04,84.53,,72.70,,86.00,,103.52,
1999-07,85.31,,72.85,,85.39,,102.98,
1999-10,85.27,,72.44,,84.95,,102.62,
2000-01,86.41,,73.37,,84.91,,102.89,
2000-04,87.36,,74.91,,85.75,,104.11,
2000-07,87.20,,75.57,,86.66,,104.91,
2000-10,87.30,,76.07,,87.14,,105.46,
2001-01,88.90,,75.59,,85.03,,102.29,
2001-04,89.21,,76.58,,85.84,,103.25,
2001-07,89.23,,76.92,,86.20,,102.97,
2001-10,89.70,,77.89,,86.83,,102.85,
2002-01,89.25,,77.76,,87.13,,103.01,
2002-04,89.58,,77.24,,86.22,,102.30,
2002-07,90.43,,78.13,,86.40,,101.60,
2002-10,91.09,,79.34,,87.10,,102.31,
2003-01,89.87,,79.31,,88.25,,103.08,
2003-04,90.53,,79.67,,88.00,,102.69,
2003-07,91.02,,79.80,,87.67,,101.81,
2003-10,91.68,,80.35,,87.64,,101.81,
2004-01,91.12,,79.83,,87.61,,101.32,
2004-04,91.96,,80.31,,87.33,,100.41,
2004-07,91.85,,80.37,,87.50,,100.61,
2004-10,91.50,,79.74,,87.15,,100.26,
2005-01,93.16,,82.64,,88.71,,101.85,
2005-04,92.70,,80.08,,86.39,,99.12,
2005-07,93.21,,80.61,,86.48,,99.20,
2005-10,93.13,,80.40,,86.33,,98.88,
2006-01,93.47,,79.64,,85.20,,97.74,
2006-04,94.51,,80.36,,85.03,,97.14,
2006-07,94.63,,80.86,,85.45,,97.60,
2006-10,95.50,,80.29,,84.07,,95.66,
2007-01,95.01,,79.92,,84.12,,94.93,
2007-04,95.44,,80.77,,84.63,,95.17,
2007-07,95.89,,81.42,,84.91,,95.16,
2007-10,96.29,,81.58,,84.72,,94.61,
2008-01,96.31,,82.39,,85.55,,95.59,
2008-04,95.90,,81.70,,85.19,,94.91,
2008-07,95.75,,83.44,,87.14,,96.88,
2008-10,94.78,,84.98,,89.66,,99.23,
2009-01,91.37,,85.44,,93.51,,102.78,
2009-04,92.74,,86.53,,93.30,,102.16,
2009-07,93.28,,86.67,,92.91,,101.21,
2009-10,93.81,,86.52,,92.23,,100.19,
2010-01,94.08,,87.41,,92.91,,100.88,
2010-04,95.11,,86.77,,91.23,,99.61,
2010-07,95.55,,87.19,,91.25,,98.87,
2010-10,95.03,,86.31,,90.82,,98.16,
2011-01,96.94,,88.04,,90.82,,98.15,
2011-04,97.31,,89.27,,91.74,,98.77,
2011-07,97.87,,89.56,,91.51,,98.15,
2011-10,97.49,,90.20,,92.52,,98.57,
2012-01,97.52,,90.54,,92.84,,98.91,
2012-04,98.18,,93.11,,94.84,,100.78,
2012-07,98.31,,93.58,,95.19,,100.47,
2012-10,98.04,,94.11,,95.99,,100.68,
2013-01,98.16,,95.35,,97.14,,101.31,
2013-04,98.38,,94.68,,96.24,,100.06,
2013-07,98.45,,94.92,,96.41,,99.81,
2013-10,98.88,,96.18,,97.27,,100.47,
2014-01,98.91,,96.47,,97.53,,99.92,
2014-04,99.19,,97.41,,98.21,,100.08,
2014-07,99.68,,97.69,,98.00,,99.64,
2014-10,100.19,,98.44,,98.25,,99.64,
2015-01,99.45,,98.98,,99.53,,100.06,
2015-04,99.72,,100.02,,100.30,,100.40,
2015-07,100.44,,100.46,,100.02,,99.82,
2015-10,100.38,,100.51,,100.13,,99.74,
2016-01,101.36,,102.56,,101.18,,100.31,
2016-04,101.06,,100.85,,99.79,,98.58,
2016-07,101.32,,102.64,,101.30,,99.91,
2016-10,101.69,,103.99,,102.26,,100.43,
2017-01,102.34,,103.46,,101.09,,99.04,
2017-04,102.86,,105.19,,102.27,,99.60,
2017-07,103.24,,105.67,,102.35,,99.23,
2017-10,104.22,,107.35,,103.00,,99.52,
2018-01,103.84,,107.79,,103.80,,99.82,
2018-04,103.08,,107.30,,104.09,,99.58,
2018-07,102.88,,109.53,,106.46,,101.34,
2018-10,103.02,,109.83,,106.61,,100.61,
2019-01,103.44,,110.46,,106.79,,100.75,
2019-04,103.59,,112.61,,108.71,,101.88,
2019-07,103.43,,112.74,,109.00,,101.56,
2019-10,103.84,,113.74,,109.53,,101.28,
2020-01,104.07,,115.01,,110.51,,101.76,
2020-04,101.94,,118.88,,116.62,,106.69,
2020-07,103.72,,115.31,,111.17,,102.63,
2020-10,106.10,,117.65,,110.89,,101.92,
2021-01,105.38,,119.41,,113.31,,102.47,
2021-04,105.84,,118.02,,111.51,,100.98,
2021-07,104.37,,118.42,,113.46,,100.42,
2021-10,104.24,,118.89,,114.05,,99.90,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
