"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00_FLAGS
"",Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-19 group,,"Real effective exchange rate of the Euro vis-à-vis the currencies of the EER-19 group, based on consumer price indices",,Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group,,"Real effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group, based on consumer price indices",
unit,1Q99=100,,1Q99=100,,1Q99=100,,1Q99=100,
unit multiplier,one,,one,,one,,one,
last update,2022-03-16 16:25:10,,2022-03-16 16:25:11,,2022-03-16 16:25:11,,2022-03-16 16:25:12,
1993-01,98.7957,,112.3238,,74.0632,,113.1758,
1993-02,98.2868,,111.4109,,74.3211,,112.2157,
1993-03,97.3032,,109.7944,,74.2548,,110.6542,
1993-04,98.2387,,110.3834,,75.9067,,111.7070,
1993-05,98.0951,,109.7445,,76.4562,,111.1697,
1993-06,96.6262,,107.8583,,75.9626,,109.2981,
1993-07,94.0562,,104.7146,,74.1536,,105.3512,
1993-08,93.7655,,103.9574,,74.1762,,103.8268,
1993-09,96.7415,,106.8582,,76.9766,,106.2036,
1993-10,96.5414,,106.3159,,77.3972,,105.3970,
1993-11,94.7206,,104.0866,,76.3230,,102.7349,
1993-12,94.5241,,103.4523,,76.7982,,102.1496,
1994-01,95.0985,,104.1296,,77.5852,,102.2179,
1994-02,95.2686,,104.0976,,78.6459,,102.5082,
1994-03,96.7706,,105.4184,,80.6864,,104.0415,
1994-04,96.9467,,105.4390,,82.0883,,104.4928,
1994-05,98.3057,,106.8472,,83.9253,,105.8301,
1994-06,99.0159,,107.2850,,84.8951,,106.0056,
1994-07,100.8778,,109.1356,,87.2475,,108.3995,
1994-08,101.1745,,109.1323,,87.5591,,108.0649,
1994-09,101.3607,,109.1125,,88.0778,,107.9693,
1994-10,102.1426,,109.8810,,89.6049,,109.0968,
1994-11,101.3302,,108.7350,,89.2561,,107.7811,
1994-12,100.2902,,107.4199,,88.5502,,106.1902,
1995-01,101.6185,,108.5119,,90.4426,,107.4575,
1995-02,102.6780,,109.4958,,91.7354,,108.3835,
1995-03,104.3425,,111.1114,,94.0120,,110.4985,
1995-04,104.7123,,111.3367,,94.6116,,110.5489,
1995-05,104.3453,,110.6534,,94.2112,,109.3889,
1995-06,104.8216,,111.1124,,94.6453,,109.5442,
1995-07,106.1944,,112.4334,,95.8814,,110.5536,
1995-08,105.2150,,111.4004,,94.9501,,109.1970,
1995-09,104.8363,,110.8876,,94.6517,,108.4214,
1995-10,106.2175,,112.3051,,96.1785,,109.8091,
1995-11,106.7336,,112.8018,,96.8492,,110.2194,
1995-12,106.1550,,112.0729,,96.3996,,109.3678,
1996-01,106.1136,,111.8653,,96.4065,,108.8590,
1996-02,105.9987,,111.6631,,96.4312,,108.5543,
1996-03,105.7001,,111.2222,,96.3544,,108.1375,
1996-04,104.9773,,110.2616,,95.8138,,107.0824,
1996-05,104.1670,,109.2979,,95.2423,,106.1322,
1996-06,104.5604,,109.4459,,95.7794,,106.3522,
1996-07,105.6902,,110.3704,,96.9723,,107.3701,
1996-08,106.5236,,111.0459,,97.9231,,108.0395,
1996-09,105.7782,,110.0826,,97.3440,,107.1222,
1996-10,104.9029,,109.0730,,96.7314,,106.1860,
1996-11,104.9889,,108.9550,,97.1412,,106.2653,
1996-12,103.8857,,107.6166,,96.1187,,104.8391,
1997-01,102.3963,,105.9044,,94.6617,,102.9291,
1997-02,100.5558,,103.2862,,92.6640,,99.9687,
1997-03,99.8925,,102.3333,,92.0402,,98.8985,
1997-04,99.3907,,101.4185,,91.7117,,98.0255,
1997-05,99.0124,,101.0357,,91.5781,,97.7640,
1997-06,97.6890,,99.4248,,90.4496,,96.2150,
1997-07,95.0302,,96.5658,,88.3739,,93.7046,
1997-08,94.2438,,95.7850,,87.7364,,92.9258,
1997-09,96.6163,,98.1063,,90.3826,,95.5157,
1997-10,97.5636,,98.9653,,91.8218,,96.7532,
1997-11,98.6501,,100.0396,,93.3160,,98.1360,
1997-12,98.6322,,99.8742,,93.6097,,98.1133,
1998-01,97.8211,,98.6159,,93.5794,,97.3639,
1998-02,97.2393,,97.8320,,92.9183,,96.3346,
1998-03,96.3650,,96.8452,,92.1937,,95.2928,
1998-04,96.8669,,97.4040,,92.7268,,95.7554,
1998-05,99.3098,,99.8035,,95.2582,,98.1652,
1998-06,99.1052,,99.6682,,95.5230,,98.3588,
1998-07,98.8280,,99.2546,,95.5066,,98.0624,
1998-08,100.0602,,100.5497,,96.8845,,99.3096,
1998-09,102.7120,,103.1149,,101.0504,,102.6593,
1998-10,104.3093,,104.5712,,103.1716,,104.3851,
1998-11,102.5102,,102.7154,,101.2215,,102.1133,
1998-12,102.7170,,102.8563,,101.9159,,102.4594,
1999-01,101.7851,,101.7066,,101.6029,,101.6590,
1999-02,99.9700,,99.8852,,100.0424,,99.9510,
1999-03,98.4738,,98.4081,,98.5694,,98.3901,
1999-04,97.3277,,97.3642,,97.3446,,97.1592,
1999-05,96.7731,,96.7206,,96.7431,,96.3452,
1999-06,95.0001,,94.9278,,94.9847,,94.4658,
1999-07,95.0137,,94.9372,,95.0189,,94.3855,
1999-08,95.9668,,95.8653,,96.4546,,95.6726,
1999-09,94.5962,,94.3172,,95.3989,,94.3261,
1999-10,95.5586,,95.2665,,96.6053,,95.3331,
1999-11,93.3914,,93.1535,,94.2997,,92.9886,
1999-12,91.5813,,91.4391,,92.5550,,91.2049,
2000-01,91.6070,,91.3767,,92.6728,,91.0727,
2000-02,90.3627,,90.0272,,91.2767,,89.5149,
2000-03,88.9854,,88.6832,,89.8374,,88.0780,
2000-04,87.6055,,87.3377,,88.5381,,86.7338,
2000-05,86.0435,,85.7876,,86.8568,,85.0145,
2000-06,88.9315,,88.6824,,90.0118,,88.0972,
2000-07,88.3323,,87.9242,,89.4132,,87.2871,
2000-08,86.0349,,85.7787,,86.9689,,84.9640,
2000-09,84.3788,,84.1635,,85.2212,,83.2380,
2000-10,83.1913,,82.9345,,84.1848,,82.0750,
2000-11,83.7589,,83.5233,,84.8307,,82.6343,
2000-12,86.4864,,86.0661,,87.8107,,85.2759,
2001-01,89.7959,,88.9900,,91.2914,,88.2200,
2001-02,88.9211,,88.3192,,90.5266,,87.5957,
2001-03,88.6798,,88.1301,,90.7148,,87.6949,
2001-04,87.7114,,87.2695,,90.2041,,87.0910,
2001-05,86.1557,,85.7045,,88.5228,,85.3609,
2001-06,84.7746,,84.3283,,87.2233,,84.0133,
2001-07,85.4871,,85.0919,,88.2186,,84.9457,
2001-08,88.0315,,87.6553,,91.0767,,87.6495,
2001-09,88.4628,,88.1720,,91.9033,,88.4096,
2001-10,88.2474,,88.0521,,91.9397,,88.3662,
2001-11,86.9783,,86.7883,,90.3995,,86.7585,
2001-12,87.4314,,87.3748,,90.8210,,87.1840,
2002-01,87.0981,,87.3687,,90.4955,,87.0194,
2002-02,86.3163,,86.5830,,89.6839,,86.1550,
2002-03,86.4417,,86.7785,,89.8945,,86.3660,
2002-04,86.7207,,87.0850,,90.2686,,86.6713,
2002-05,88.3813,,88.7631,,92.3711,,88.6343,
2002-06,90.5005,,90.8887,,95.1515,,91.2416,
2002-07,91.8872,,92.3813,,97.1597,,93.2048,
2002-08,91.3520,,91.8645,,96.6016,,92.6422,
2002-09,91.3366,,91.9472,,96.8268,,92.8548,
2002-10,91.6046,,92.2139,,97.2681,,93.1687,
2002-11,92.4405,,92.9391,,98.0976,,93.7088,
2002-12,93.4364,,93.9491,,99.1806,,94.6719,
2003-01,95.7699,,96.4378,,101.9803,,97.3735,
2003-02,97.0773,,97.7940,,103.3869,,98.7124,
2003-03,97.8986,,98.6638,,104.0948,,99.3509,
2003-04,98.4477,,99.2779,,104.2953,,99.4977,
2003-05,102.1656,,103.1432,,108.2803,,103.3365,
2003-06,102.6038,,103.8034,,108.6324,,103.8712,
2003-07,101.4541,,102.6550,,107.0552,,102.3968,
2003-08,100.3377,,101.4986,,105.8248,,101.2114,
2003-09,100.2693,,101.4290,,105.7818,,101.1533,
2003-10,101.9482,,103.0965,,107.9378,,103.1347,
2003-11,101.9398,,102.9859,,107.9556,,103.0037,
2003-12,104.7460,,105.6797,,111.1644,,105.8848,
2004-01,105.9194,,106.8301,,112.4013,,106.9802,
2004-02,105.7958,,106.8506,,112.2932,,106.9462,
2004-03,103.9560,,105.0362,,110.0604,,104.8208,
2004-04,102.3124,,103.4656,,108.2679,,103.1634,
2004-05,102.8767,,104.0069,,109.4150,,104.2096,
2004-06,102.7334,,103.8147,,109.4852,,104.1965,
2004-07,103.1600,,104.2282,,109.9070,,104.5128,
2004-08,102.9664,,104.1262,,109.7412,,104.4017,
2004-09,103.3169,,104.3706,,110.0828,,104.5594,
2004-10,104.3929,,105.4026,,111.3257,,105.6136,
2004-11,105.6703,,106.5134,,112.8883,,106.8508,
2004-12,106.8741,,107.8407,,114.1570,,108.0769,
2005-01,105.7784,,106.7448,,112.6695,,106.5340,
2005-02,104.9629,,105.8366,,111.6097,,105.4247,
2005-03,105.6539,,106.7174,,112.4993,,106.3556,
2005-04,104.8365,,105.9308,,111.5172,,105.4091,
2005-05,103.9027,,105.0288,,110.2652,,104.1974,
2005-06,101.2516,,102.5095,,107.2760,,101.4989,
2005-07,101.7156,,102.8862,,107.4590,,101.5709,
2005-08,102.0890,,103.2731,,108.1099,,102.1723,
2005-09,101.5177,,102.6189,,107.5658,,101.5881,
2005-10,101.1671,,102.2391,,107.0177,,100.9185,
2005-11,100.4488,,101.4679,,106.0607,,99.8429,
2005-12,100.4344,,101.5049,,106.0819,,99.8458,
2006-01,101.1310,,102.1634,,106.7793,,100.3736,
2006-02,100.3936,,101.5123,,105.7745,,99.4599,
2006-03,101.1947,,102.4108,,106.6369,,100.2749,
2006-04,102.2269,,103.4856,,107.8289,,101.3873,
2006-05,103.1840,,104.4055,,109.6610,,102.9904,
2006-06,103.3727,,104.6157,,110.2739,,103.5575,
2006-07,103.6647,,104.9471,,110.4092,,103.6963,
2006-08,103.6906,,104.7472,,110.3619,,103.4843,
2006-09,103.5339,,104.4605,,110.1726,,103.0922,
2006-10,102.9590,,103.9452,,109.4704,,102.3738,
2006-11,103.5063,,104.4553,,110.1593,,102.9061,
2006-12,104.4835,,105.2340,,111.2866,,103.7184,
2007-01,103.8630,,104.8078,,110.4285,,102.9850,
2007-02,104.3301,,105.2082,,110.7771,,103.1942,
2007-03,105.0331,,105.7240,,111.6310,,103.8136,
2007-04,105.9071,,106.8347,,112.3983,,104.6915,
2007-05,105.9226,,106.7288,,112.1454,,104.3245,
2007-06,105.5073,,106.1735,,111.6181,,103.6591,
2007-07,106.0573,,106.6482,,112.2650,,104.1484,
2007-08,105.7729,,106.1239,,112.2376,,103.8728,
2007-09,106.7610,,107.0890,,113.2220,,104.6668,
2007-10,107.7600,,108.0159,,114.0196,,105.2111,
2007-11,109.2409,,109.4692,,115.8206,,106.7981,
2007-12,109.2793,,109.3359,,115.6433,,106.3952,
2008-01,109.8423,,109.8778,,116.2599,,106.8466,
2008-02,109.5216,,109.1273,,116.0554,,106.1620,
2008-03,112.1398,,111.9873,,119.4145,,109.3114,
2008-04,113.2170,,112.9650,,120.6975,,110.2333,
2008-05,112.6176,,112.4749,,119.9104,,109.5177,
2008-06,112.3399,,112.0709,,119.6967,,109.1488,
2008-07,112.4416,,111.9756,,119.9371,,109.1194,
2008-08,110.3154,,109.6164,,117.1361,,106.2893,
2008-09,108.7211,,108.0308,,115.7624,,104.9604,
2008-10,105.4630,,104.8054,,113.1992,,102.4389,
2008-11,104.7870,,104.3301,,112.5606,,101.8704,
2008-12,110.0283,,109.5908,,118.5274,,107.1957,
2009-01,109.8519,,109.3745,,118.5565,,107.0933,
2009-02,108.7961,,108.3449,,117.6441,,106.2425,
2009-03,111.0540,,110.3180,,120.1756,,108.1379,
2009-04,110.1944,,109.5850,,118.9323,,107.0641,
2009-05,110.7612,,109.9815,,119.4279,,107.3378,
2009-06,111.8360,,110.9982,,120.6125,,108.3565,
2009-07,111.5293,,110.3394,,120.4652,,107.7434,
2009-08,111.4915,,110.3552,,120.5591,,107.8531,
2009-09,112.7676,,111.4831,,121.9482,,108.8968,
2009-10,114.0502,,112.6226,,122.9439,,109.5786,
2009-11,113.8712,,112.3310,,122.8819,,109.3458,
2009-12,112.8165,,111.2027,,121.6397,,108.0890,
2010-01,110.6367,,108.9563,,119.0020,,105.5095,
2010-02,107.8984,,106.1322,,116.0095,,102.6498,
2010-03,107.1572,,105.6046,,114.8497,,101.7594,
2010-04,105.8368,,104.4247,,113.0812,,100.3137,
2010-05,102.5945,,101.1559,,109.4478,,96.9948,
2010-06,100.4603,,99.1437,,107.2353,,95.0952,
2010-07,102.2805,,100.9078,,109.5705,,97.0899,
2010-08,101.9656,,100.4390,,109.2824,,96.6710,
2010-09,102.2848,,100.7186,,109.6882,,96.8992,
2010-10,105.8850,,104.0469,,113.6288,,100.1194,
2010-11,104.6111,,102.5594,,112.3271,,98.7212,
2010-12,102.3992,,100.4002,,109.8134,,96.4711,
2011-01,102.1991,,100.2405,,109.8315,,96.4180,
2011-02,103.2872,,101.2168,,111.2096,,97.5376,
2011-03,104.9877,,102.8273,,112.9965,,99.0493,
2011-04,106.7283,,104.5991,,114.7618,,100.6349,
2011-05,105.6981,,103.3553,,113.8950,,99.5757,
2011-06,105.7560,,103.3340,,114.0556,,99.6323,
2011-07,104.7809,,102.3775,,113.0023,,98.7218,
2011-08,104.5267,,102.1376,,113.4350,,99.0675,
2011-09,103.5257,,101.1859,,112.5581,,98.3043,
2011-10,103.7649,,101.5049,,113.1063,,98.7515,
2011-11,103.3161,,101.1239,,112.5644,,98.2454,
2011-12,101.5162,,99.3117,,110.7405,,96.5649,
2012-01,99.6550,,97.4902,,108.4054,,94.5204,
2012-02,100.3861,,98.4289,,108.8516,,95.0730,
2012-03,100.5233,,98.4988,,109.0876,,95.1981,
2012-04,100.1200,,98.2316,,108.8841,,95.0592,
2012-05,98.6878,,96.7319,,107.6535,,93.8449,
2012-06,97.8223,,95.9896,,106.9691,,93.2823,
2012-07,96.0020,,94.3585,,104.8330,,91.4883,
2012-08,95.8850,,94.2507,,104.8241,,91.4618,
2012-09,97.8981,,96.2150,,107.1644,,93.4518,
2012-10,98.4979,,96.7598,,107.7644,,93.8603,
2012-11,97.9152,,96.0897,,107.2028,,93.2323,
2012-12,99.3407,,97.4223,,108.7722,,94.4730,
2013-01,100.9632,,98.9605,,110.2811,,95.6521,
2013-02,102.1560,,99.9292,,111.4065,,96.4141,
2013-03,100.6639,,98.6444,,109.6154,,94.9666,
2013-04,100.7986,,98.6910,,109.7958,,94.9866,
2013-05,100.8609,,98.7800,,109.9777,,95.1195,
