"",BBK01.BJ9170,BBK01.BJ9170_FLAGS,BBK01.BJ9171,BBK01.BJ9171_FLAGS,BBK01.BJ9172,BBK01.BJ9172_FLAGS,BBK01.BJ9173,BBK01.BJ9173_FLAGS,BBK01.BJ9180,BBK01.BJ9180_FLAGS,BBK01.BJ9183,BBK01.BJ9183_FLAGS,BBK01.BJ9181,BBK01.BJ9181_FLAGS,BBK01.BJ9185,BBK01.BJ9185_FLAGS,BBK01.BJ9184,BBK01.BJ9184_FLAGS,BBK01.BJ9182,BBK01.BJ9182_FLAGS,BBK01.BJ9186,BBK01.BJ9186_FLAGS,BBK01.BJ9190,BBK01.BJ9190_FLAGS,BBK01.BJ9195,BBK01.BJ9195_FLAGS,BBK01.BK9170,BBK01.BK9170_FLAGS,BBK01.BK9171,BBK01.BK9171_FLAGS,BBK01.BK9172,BBK01.BK9172_FLAGS,BBK01.BK9173,BBK01.BK9173_FLAGS,BBK01.BK9180,BBK01.BK9180_FLAGS,BBK01.BK9183,BBK01.BK9183_FLAGS,BBK01.BK9181,BBK01.BK9181_FLAGS,BBK01.BK9185,BBK01.BK9185_FLAGS,BBK01.BK9184,BBK01.BK9184_FLAGS,BBK01.BK9182,BBK01.BK9182_FLAGS,BBK01.BK9186,BBK01.BK9186_FLAGS,BBK01.BK9190,BBK01.BK9190_FLAGS,BBK01.BK9195,BBK01.BK9195_FLAGS
"",National accounts / Germany / General government revenue (ESA 2010) / Total,,National accounts / Germany / General government revenue (ESA 2010) / Total tax revenue,,National accounts / Germany / General government revenue (ESA 2010) / Social contributions,,National accounts / General government revenue (ESA 2010) / Other revenue,,National accounts / Germany / General government expenditure (ESA 2010) / Total,,National accounts / Germany / General government expenditure (ESA 2010) / Social benefits,,National accounts / Germany / General government expenditure (ESA 2010) / Compensation of employees,,National accounts / Germany / General government expenditure (ESA 2010) / Intermediate consumption,,National accounts / Germany / General government expenditure (ESA 2010) / Gross capital formation,,National accounts / Germany / General government expenditure (ESA 2010) / Interest expenditure,,National accounts / Germany / General government expenditure (ESA 2010) / Other expenditure,,National accounts / Germany / General government deficit(-) or surplus (+) (ESA 2010),,National accounts / Germany / General government revenue (ESA 2010) / Memo item: total burden of taxes and social security contributions,,National accounts / Germany / General government revenue (ESA 2010) / Total / As a percentage of GDP,,National accounts / Germany / General government revenue (ESA 2010) / Total tax revenue / As a percentage of GDP,,National accounts / Germany / General government revenue (ESA 2010) / Social contributions / As a percentage of GDP,,National accounts / General government revenue (ESA 2010) / Other revenue / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Total / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Social benefits / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Compensation of employees / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Intermediate consumption / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Gross capital formation / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Interest expenditure / As a percentage of GDP,,National accounts / Germany / General government expenditure (ESA 2010) / Other expenditure / As a percentage of GDP,,National accounts / Germany / General government deficit(-) or surplus (+) (ESA 2010) / As a percentage of GDP,,National accounts / Germany / General government revenue (ESA 2010) / Memo item: total burden of taxes and social security contributions / As a percentage of GDP,
unit,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,
unit multiplier,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,
last update,2022-02-25 19:06:40,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:42,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:44,,2022-02-25 19:06:43,,2022-02-25 19:06:43,,2022-02-25 19:06:44,,2022-02-25 19:06:44,,2022-02-25 19:06:44,
1970,140530,,82860,,42550,,15120,,138670,,58210,,30300,,,,17040,,3330,,29790,,1860,,,,39.0,,23.0,,11.8,,4.2,,38.5,,16.1,,8.4,,,,4.7,,0.9,,8.3,,0.516,,,
1971,160280,,93140,,49400,,17740,,159650,,66740,,36190,,,,18320,,3810,,34590,,630,,,,40.0,,23.3,,12.3,,4.4,,39.9,,16.7,,9.0,,,,4.6,,1.0,,8.6,,0.157,,,
1972,177440,,100830,,56490,,20120,,179020,,76580,,40620,,,,18020,,4500,,39300,,-1580,,,,40.7,,23.1,,12.9,,4.6,,41.0,,17.5,,9.3,,,,4.1,,1.0,,9.0,,-0.362,,,
1973,207710,,117600,,66950,,23160,,202260,,87170,,47400,,,,18700,,5390,,43600,,5450,,,,42.7,,24.2,,13.8,,4.8,,41.6,,17.9,,9.8,,,,3.8,,1.1,,9.0,,1.121,,,
1974,226970,,126080,,75080,,25810,,235610,,102410,,55040,,,,22640,,6520,,49000,,-8640,,,,43.1,,24.0,,14.3,,4.9,,44.8,,19.5,,10.5,,,,4.3,,1.2,,9.3,,-1.643,,,
1975,237970,,125860,,83970,,28140,,268830,,125720,,59870,,,,23020,,7670,,52550,,-30860,,,,43.2,,22.8,,15.2,,5.1,,48.8,,22.8,,10.9,,,,4.2,,1.4,,9.5,,-5.601,,,
