"",BBNZ1.Q.DE.Y.H.0000.A,BBNZ1.Q.DE.Y.H.0000.A_FLAGS,BBNZ1.Q.DE.Y.G.0000.A,BBNZ1.Q.DE.Y.G.0000.A_FLAGS
"",Germany/Overall economy / GDP/Chain-linked index/Calendar and seasonally adjusted,,Germany/Overall economy / GDP/At current prices/Calendar and seasonally adjusted,
unit,2015=100,,Euro,
unit multiplier,one,,billion,
last update,2022-05-25 08:15:15,,2022-05-25 08:12:22,
1991-01,73.68,,388.563,
1991-04,73.29,,395.028,
1991-07,73.13,,396.677,
1991-10,74.08,,410.508,
1992-01,75.21,,420.589,
1992-04,74.63,,423.229,
1992-07,74.50,,426.036,
1992-10,74.26,,430.429,
1993-01,73.72,,430.942,
1993-04,73.70,,436.340,
1993-07,74.14,,439.213,
1993-10,74.07,,442.353,
1994-01,75.11,,450.998,
1994-04,75.29,,453.172,
1994-07,75.82,,458.488,
1994-10,76.71,,465.978,
1995-01,76.45,,466.733,
1995-04,77.01,,473.987,
1995-07,77.16,,476.809,
1995-10,77.18,,477.516,
1996-01,76.54,,473.756,
1996-04,77.58,,479.998,
1996-07,77.86,,482.449,
1996-10,78.43,,486.193,
1997-01,78.01,,484.096,
1997-04,79.02,,489.217,
1997-07,79.29,,493.558,
1997-10,79.86,,496.693,
1998-01,80.62,,501.822,
1998-04,80.27,,501.842,
1998-07,80.67,,504.690,
1998-10,80.32,,504.066,
1999-01,81.25,,509.667,
1999-04,81.25,,510.728,
1999-07,82.19,,515.634,
1999-10,82.82,,518.659,
2000-01,84.00,,524.447,
2000-04,84.69,,527.770,
2000-07,84.67,,529.151,
2000-10,84.41,,527.676,
2001-01,86.11,,541.533,
2001-04,86.06,,541.320,
2001-07,85.92,,544.198,
2001-10,85.82,,548.168,
2002-01,85.37,,546.237,
2002-04,85.75,,546.719,
2002-07,86.17,,554.392,
2002-10,86.05,,554.247,
2003-01,84.77,,549.071,
2003-04,84.87,,550.185,
2003-07,85.52,,557.133,
2003-10,85.75,,558.478,
2004-01,85.60,,560.038,
2004-04,86.03,,566.012,
2004-07,85.87,,564.987,
2004-10,85.78,,563.984,
2005-01,85.78,,565.253,
2005-04,86.23,,568.562,
2005-07,86.97,,573.650,
2005-10,87.38,,577.243,
2006-01,88.23,,581.839,
2006-04,89.75,,594.338,
2006-07,90.44,,599.019,
2006-10,91.81,,610.361,
2007-01,91.88,,616.009,
2007-04,92.65,,623.270,
2007-07,93.11,,628.499,
2007-10,93.73,,634.954,
2008-01,94.32,,638.587,
2008-04,94.10,,639.049,
2008-07,93.49,,636.293,
2008-10,92.00,,628.862,
2009-01,87.69,,603.612,
2009-04,87.83,,606.851,
2009-07,88.32,,613.450,
2009-10,88.97,,619.613,
2010-01,89.69,,624.949,
2010-04,91.70,,635.422,
2010-07,92.47,,645.696,
2010-10,93.22,,652.519,
2011-01,95.02,,665.181,
2011-04,95.10,,668.229,
2011-07,95.95,,676.798,
2011-10,95.65,,679.205,
2012-01,95.85,,680.685,
2012-04,96.03,,683.655,
2012-07,96.31,,690.408,
2012-10,95.88,,691.596,
2013-01,95.43,,692.297,
2013-04,96.45,,701.778,
2013-07,97.01,,709.028,
2013-10,97.30,,712.703,
2014-01,98.21,,725.275,
2014-04,98.21,,729.064,
2014-07,98.74,,734.774,
2014-10,99.54,,742.539,
2015-01,99.02,,745.226,
2015-04,99.72,,753.703,
2015-07,100.22,,759.653,
2015-10,100.65,,764.515,
2016-01,101.47,,774.356,
2016-04,101.89,,780.290,
2016-07,102.24,,784.278,
2016-10,102.56,,789.991,
2017-01,103.81,,801.647,
2017-04,104.62,,812.696,
2017-07,105.54,,823.568,
2017-10,106.39,,833.086,
2018-01,105.93,,833.314,
2018-04,106.52,,842.353,
2018-07,106.07,,843.062,
2018-10,106.48,,853.614,
2019-01,107.60,,862.884,
2019-04,107.07,,864.337,
2019-07,107.51,,872.995,
2019-10,107.43,,878.996,
2020-01,105.54,,867.072,
2020-04,94.99,,785.466,
2020-07,103.58,,848.856,
2020-10,104.35,,858.830,
2021-01,102.59,,858.249,
2021-04,104.82,,875.577,
2021-07,106.57,,910.936,
2021-10,106.20,,917.223,
2022-01,106.45,,925.061,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
