Year;Value;Region;Chapter;Table;Indicator;Energy Source
2016;837.22;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2018;968.363;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2019;942.63;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2008;31.846;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2006;37.6;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2007;39.8;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2012;57.3642365398185;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2014;51.2957258153303;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2020;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2010;694392.0;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2013;874208.5665;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2014;948521.820861349;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2005;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
2006;146.55;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
2010;196.989166;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
2015;232.864798;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
2006;462.35;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2012;713.389;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2015;42.211;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2016;43.155;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2018;45.81;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2015;52.5128551574423;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2019;64.1432120090671;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
2008;553994.713100625;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2009;612644.99;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2015;1001190.68430858;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2019;1291493.75212208;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
2020;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
2005;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2014;822.131;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2020;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
2005;;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2006;30.81;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2007;34.65;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2012;46.313;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2014;46.954;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
2019;42.267;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
