Series code,FF'FOF_FFYS430A100,FF'FOF_FFYS430A300,FF'FOF_FFYS430A330,FF'FOF_FFYS430A400,FF'FOF_FFYS430A600,CO'TK99G0000164CFY00000

Name of time-series,"Assets/Currency and deposits/Households/Stock","Assets/Debt securities/Households/Stock","Assets/-Equity/Households/Stock","Assets/Insurance, pension and standardized guarantees/Households/Stock","Assets/Others/Households/Stock","Software, R&D, and Fixed Investment excluding Land Purchasing Expenses/Year-to-year Percent Change/Fiscal Year/All Enterprises/All industries/Actual result"

Unit,"100 million yen","100 million yen","100 million yen","100 million yen","100 million yen","%"

Statistical category,"Flow of Funds (2008 SNA)","Flow of Funds (2008 SNA)","Flow of Funds (2008 SNA)","Flow of Funds (2008 SNA)","Flow of Funds (2008 SNA)","TANKAN/Annual Projections/Software, R&D, and Fixed Investment (Compiled under the New Lease Accounting Standard)"
Observation,"END","END","END","END","END","AVERAGED"
start of time-series,"1979","1979","1979","1979","1979","2016"
End of time-series,"2021","2021","2021","2021","2021","2020"
Frequency,ANNUAL(MAR),ANNUAL(MAR),ANNUAL(MAR),ANNUAL(MAR),ANNUAL(MAR),ANNUAL(MAR)

Notes,"Data up until fiscal year 2003 are based on the 1993SNA. Data from fiscal year 2004 onward are based on the 2008SNA.","Data up until fiscal year 2003 are based on the 1993SNA and calculated by the formula; Securities other than shares - Investment trust beneficiary certificates. Data from fiscal year 2004 onward are based on the 2008SNA.","Data up until fiscal year 2003 are based on the 1993SNA. Data from fiscal year 2004 onward are based on the 2008SNA. There is a discontinuity in the data series between fiscal year 2003 and fiscal year 2004.","Data up until fiscal year 2003 are those of Insurance and pension reserves based on the 1993SNA. Data from fiscal year 2004 onward are based on the 2008SNA. There is a discontinuity in the data series between fiscal year 2003 and fiscal year 2004 due to changes in the compilation methods of pension entitlements, insurance, etc.","Data up until fiscal year 2003 are based on the 1993SNA. Data from fiscal year 2004 onward are based on the 2008SNA. There is a discontinuity in the data series between fiscal year 2003 and fiscal year 2004 due to changes in the compilation methods of pension entitlements, etc.",""

1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,,
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,,
1924,,,,,,
1925,,,,,,
1926,,,,,,
1927,,,,,,
1928,,,,,,
1929,,,,,,
1930,,,,,,
1931,,,,,,
1932,,,,,,
1933,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,,
1939,,,,,,
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,1948234,233710,452241,432124,2487,
1980,2174447,273593,492208,499327,3346,
1981,2416292,285367,479906,579077,3216,
1982,2627648,332630,528306,668918,4100,
1983,2827925,392162,716161,767412,4522,
1984,3054117,427028,767290,882297,5187,
1985,3294078,480063,1004089,1020857,3938,
1986,3545346,488425,1397073,1208116,4912,
1987,3818660,493398,1837848,1418681,6141,
1988,4100172,479888,2165532,1663884,7876,
1989,4479416,534690,2032114,1918591,13050,
1990,4818226,643453,1721851,2116160,14026,
1991,5171566,715051,1256954,2289595,12515,
1992,5404633,781594,1188163,2514169,10420,
1993,5669572,791074,1232918,2746831,11002,
1994,6007085,797694,1184766,2947169,11228,
1995,6296360,740619,1439815,3185969,4671,
1996,6583875,693039,1029587,3356732,12321,
1997,6940141,623218,902574,3480154,15439,
1998,7237920,552013,962709,3589229,15638,
1999,7447381,505716,1383429,3698712,14034,
2000,7514288,480797,1129309,3776240,75669,
2001,7654295,418026,925699,4186319,50049,
2002,7656957,341711,779970,4232745,67505,
2003,7723379,322299,1237440,4130719,103789,
2004,7890276,377794,1439249,4813061,11511,
2005,7855911,410697,2094888,4819817,18354,
2006,7863901,436939,2075310,4831853,32582,
2007,7942480,444843,1238056,4747189,27288,
2008,8056032,431331,903957,4675439,19222,
2009,8182802,419838,1075377,4713551,22493,
2010,8317855,382812,1105493,4744621,15457,
2011,8511722,348363,1124803,4783188,13266,
2012,8667296,316623,1380180,4941297,13890,
2013,8848377,291054,1534001,4965799,10250,
2014,9037516,269328,1759274,5148900,12237,
2015,9189207,255216,1717415,5177941,11697,
2016,9401013,255565,1829291,5185077,18382,0.3
2017,9604305,241821,2203058,5204663,28226,4.6
2018,9794096,252820,1904083,5253259,32965,5.1
2019,10004137,269279,1478076,5242117,27869,1.6
2020,10574869,268074,2051755,5353523,29180,-8.5
2021,10884086,256795,2039293,5396626,41167,
