Series code,PR01'PRCG20_2200000000,PR01'PRCG20_2200010001,PR01'PRCG20_2200120001,PR01'PRCG20_2200220001,PR01'PRCG20_2200520001,PR01'PRCG20_2200620001,PR01'PRCG20_2200920001,PR02'PRCS15_5200000000,PR01'PRCG20_2400000000,PR01'PRCG20_2600000000,IR01'MADR1M,FM02'STRACLUCON

Name of time-series,"[Producer Price Index] All commodities","Major group/ Manufacturing industry products","Group/_Beverages and foods","Group/_Textile products","Group/_Chemicals and related products","Group/_Petroleum and coal products","Group/_Iron and steel","[Services Producer Price Index] All items","[Export Price Index / yen basis] All commodities","[Import Price Index / yen basis] All commodities","The Basic Discount Rate and Basic Loan Rate","Call Rate, Uncollateralized Overnight/Average"

Unit,"CY2020 average=100","CY2020 average=100","CY2020 average=100","CY2020 average=100","CY2020 average=100","CY2020 average=100","CY2020 average=100","CY2015 average=100","CY2020 average=100","CY2020 average=100","Percent per annum","percent per annum"

Statistical category,"Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Corporate Goods Price Index (2020 Base)/ Producer Price Index","Services Producer Price Index (2015 base)","Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2020 Base)/ Import Price Index (yen basis)","The Basic Discount Rates and Basic Loan Rates","Call Rate (Monthly)"
Observation,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","END","AVERAGED"
start of time-series,"1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1985/01","1960/01","1960/01","1882/10","1985/07"
End of time-series,"2022/05","2022/05","2022/05","2022/05","2022/05","2022/05","2022/05","2022/04","2022/05","2022/05","2022/05","2022/05"
Frequency,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY
