Year;Value;Region;Chapter;Table;Indicator;Energy Source
2005;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2009;532.04;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2013;565.765;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2016;657.868;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2018;728.718;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2005;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2018;44.283;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2019;42.103;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2007;32.42;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2011;47.56;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2012;40.68;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2018;32.8733698935665;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2015;224571.114911498;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2018;299465.0;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2019;340578.57;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2009;33.69;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2012;37.86;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2006;430.83;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2007;457.08;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2010;532.694;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2012;556.402;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2007;33.98;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2009;34.07;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2011;42.332;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2015;43.842;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2009;47.5;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2013;35.406881;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2017;32.649307;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2020;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2009;159642.84;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2013;234595.01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2016;241841.64;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2006;33.99;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2010;37.68;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2013;37.788441;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2018;34.2032436774592;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2019;32.16926645056;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2011;539.95;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2008;32.421;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2010;37.733;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2006;31.75;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2010;52.22;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2011;214024.08;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2012;204035.31;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2011;38.09;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2015;36.941752;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2017;35.684333;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2008;492.757;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2015;639.23;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2017;675.4;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2019;730.873;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2020;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2012;46.453;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2014;48.27;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2020;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2019;31.1842243860032;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2008;32.85;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2014;238908.43;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2017;266308.3;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2020;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2016;36.008829;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2020;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2014;612.44;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
2006;31.29;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2013;44.271;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2016;45.23;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2017;46.644;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
2005;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2008;33.506;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2014;33.657439;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2015;32.249216;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2016;31.896702;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
2005;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2006;142163.75;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2007;162553.72;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2010;179926.46;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
2005;;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2007;34.12;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2008;152886.0;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
2014;37.460998;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
