"",BBK01.DQ7861,BBK01.DQ7861_FLAGS,BBNZ1.Q.DE.N.G.1960.A,BBNZ1.Q.DE.N.G.1960.A_FLAGS
"",Actual earnings/ Overall economy/ Wages and salaries per employee (workplace concept)/ Index/ Germany,,Germany / National accounts / Gross wages and salaries per employee /  Production sector (including construction),
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2021-11-25 08:10:34,,2021-11-25 08:14:20,
1991-01,53.2,,45.8,
1991-04,57.5,,51.3,
1991-07,59.9,,51.5,
1991-10,69.3,,59.4,
1992-01,59.3,,52.3,
1992-04,62.9,,57.6,
1992-07,66.8,,58.3,
1992-10,75.4,,65.9,
1993-01,62.9,,55.0,
1993-04,66.3,,60.2,
1993-07,68.6,,60.3,
1993-10,78.1,,68.2,
1994-01,65.2,,58.1,
1994-04,67.1,,62.4,
1994-07,69.4,,61.6,
1994-10,79.3,,70.4,
1995-01,66.7,,60.2,
1995-04,69.5,,65.1,
1995-07,71.8,,63.6,
1995-10,81.4,,72.3,
1996-01,68.3,,61.9,
1996-04,70.2,,66.6,
1996-07,72.5,,65.2,
1996-10,81.8,,73.1,
1997-01,68.5,,63.1,
1997-04,70.4,,67.5,
1997-07,72.2,,65.5,
1997-10,81.6,,73.5,
1998-01,68.9,,63.8,
1998-04,71.2,,68.9,
1998-07,73.1,,66.6,
1998-10,82.1,,74.7,
1999-01,69.5,,65.2,
1999-04,72.6,,70.8,
1999-07,74.1,,68.1,
1999-10,82.9,,75.8,
2000-01,70.5,,67.0,
2000-04,72.8,,72.6,
2000-07,75.2,,69.5,
2000-10,84.4,,77.4,
2001-01,72.5,,69.2,
2001-04,74.7,,74.6,
2001-07,76.7,,71.1,
2001-10,86.2,,78.9,
2002-01,73.5,,69.9,
2002-04,75.7,,75.8,
2002-07,78.1,,73.2,
2002-10,87.5,,80.7,
2003-01,74.7,,71.8,
2003-04,77.0,,77.9,
2003-07,79.2,,74.7,
2003-10,88.0,,82.3,
2004-01,75.8,,74.5,
2004-04,77.7,,79.6,
2004-07,79.3,,75.7,
2004-10,88.1,,83.5,
2005-01,76.2,,75.0,
2005-04,78.1,,80.8,
2005-07,79.6,,77.0,
2005-10,88.2,,84.9,
2006-01,76.5,,76.5,
2006-04,78.9,,83.0,
2006-07,80.4,,79.0,
2006-10,89.0,,86.3,
2007-01,77.6,,78.1,
2007-04,80.2,,85.5,
2007-07,81.3,,80.3,
2007-10,90.6,,88.9,
2008-01,79.6,,80.4,
2008-04,82.4,,87.3,
2008-07,83.4,,81.9,
2008-10,92.6,,90.1,
2009-01,79.9,,78.9,
2009-04,82.0,,84.6,
2009-07,83.6,,80.4,
2009-10,92.8,,88.8,
2010-01,81.7,,80.9,
2010-04,84.5,,89.0,
2010-07,85.7,,83.6,
2010-10,95.2,,92.8,
2011-01,84.6,,85.2,
2011-04,87.9,,93.7,
2011-07,88.4,,86.4,
2011-10,98.1,,95.2,
2012-01,86.9,,86.6,
2012-04,90.7,,96.8,
2012-07,91.0,,88.7,
2012-10,100.9,,97.8,
2013-01,88.8,,88.3,
2013-04,92.4,,98.9,
2013-07,93.1,,91.2,
2013-10,103.2,,100.6,
2014-01,91.6,,91.4,
2014-04,95.1,,101.7,
2014-07,95.7,,93.4,
2014-10,106.3,,103.1,
2015-01,93.9,,93.6,
2015-04,98.1,,105.1,
2015-07,98.5,,95.8,
2015-10,109.3,,105.4,
2016-01,96.8,,95.8,
2016-04,100.2,,106.4,
2016-07,100.8,,97.8,
2016-10,112.0,,107.7,
2017-01,99.2,,98.0,
2017-04,102.7,,108.6,
2017-07,103.5,,99.3,
2017-10,115.0,,109.7,
2018-01,102.1,,99.9,
2018-04,105.9,,111.9,
2018-07,107.2,,101.8,
2018-10,118.5,,112.5,
2019-01,105.2,,102.0,
2019-04,109.2,,113.3,
2019-07,110.9,,105.2,
2019-10,121.3,,113.2,
2020-01,107.3,,102.7,
2020-04,105.4,,105.9,
2020-07,110.7,,102.2,
2020-10,122.8,,112.9,
2021-01,107.5,,102.4,
2021-04,111.3,,112.2,
2021-07,114.8,,105.8,
