"",BBDE1.M.DE.Y.BEA1.P2XF00000.B2.P.ABA.A,BBDE1.M.DE.Y.BEA1.P2XF00000.B2.P.ABA.A_FLAGS,BBDE1.M.DE.Y.ASA1.P2XF00000.B2.H.ABA.A,BBDE1.M.DE.Y.ASA1.P2XF00000.B2.H.ABA.A_FLAGS,BBDE1.M.DE.Y.FGA1.P2XF00000.B2.V.ABA.A,BBDE1.M.DE.Y.FGA1.P2XF00000.B2.V.ABA.A_FLAGS,BBDE1.M.DE.Y.GUA1.P2XF01000.B2.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF01000.B2.V.ABA.A_FLAGS,BBDE1.M.DE.Y.GUA1.P2XF22020.B2.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF22020.B2.V.ABA.A_FLAGS,BBDE1.M.DE.Y.GUA1.P2XF10020.B2.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF10020.B2.V.ABA.A_FLAGS,BBDE1.M.DE.Y.GUA1.P2XF13020.B2.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF13020.B2.V.ABA.A_FLAGS
"",Employed persons (including proprietors and family workers) / Persons / Germany / Main construction industry / Data on local units with at least 20 employees / Calendar and seasonally adjusted,,Hours worked by employed persons / Hours / Germany / Main construction industry / Data on local units with at least 20 employees / Calendar and seasonally adjusted,,"Gross wages and salaries / At current prices, flows / Germany / Main construction industry / Data on local units with at least 20 employees / Calendar and seasonally adjusted",,"Turnover / At current prices, flows / Germany / Main construction industry - turnover from construction work / Data on local units with at least 20 employees / Calendar and seasonally adjusted",,"Turnover / At current prices, flows / Germany / Residential construction - turnover from construction work / Data on local units with at least 20 employees / Calendar and seasonally adjusted",,"Turnover / At current prices, flows / Germany / Commercial construction - turnover from construction work / Data on local units with at least 20 employees / Calendar and seasonally adjusted",,"Turnover / At current prices, flows / Germany / Public sector construction and road construction - turnover from construction work / Data on local units with at least 20 employees / Calendar and seasonally adjusted",
unit,Anzahl (hypothetically euro-based),,Stunden (hypothetically euro-based),,DM/Euro (hypothetically euro-based),,DM/Euro (hypothetically euro-based),,DM/Euro (hypothetically euro-based),,DM/Euro (hypothetically euro-based),,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,,million,,billion,,billion,,billion,,billion,,billion,
last update,2021-12-23 08:07:14,,2021-12-23 08:07:13,,2021-12-23 08:07:15,,2021-12-23 08:07:16,,2021-12-23 08:07:19,,2021-12-23 08:07:17,,2021-12-23 08:07:18,
1995-01,1061,,96.4,,2.11,,7.97,,2.21,,3.30,,2.45,
1995-02,1074,,113.4,,2.23,,8.16,,2.26,,3.19,,2.71,
1995-03,1055,,107.8,,2.23,,8.01,,2.20,,3.27,,2.54,
1995-04,1033,,107.6,,2.16,,7.67,,2.09,,3.13,,2.45,
1995-05,1022,,106.0,,2.21,,7.50,,2.03,,3.04,,2.42,
1995-06,1009,,104.3,,2.16,,7.43,,1.94,,3.10,,2.38,
1995-07,1001,,104.2,,2.17,,7.28,,1.92,,3.02,,2.33,
1995-08,1000,,103.6,,2.16,,7.27,,1.90,,3.03,,2.34,
1995-09,991,,101.2,,2.11,,7.37,,1.94,,3.05,,2.38,
1995-10,974,,100.3,,2.12,,7.16,,1.90,,2.94,,2.32,
1995-11,970,,103.9,,2.47,,7.33,,1.90,,3.01,,2.43,
1995-12,971,,90.3,,2.08,,7.59,,1.94,,3.12,,2.53,
1996-01,977,,84.0,,2.09,,6.74,,1.87,,2.65,,2.22,
1996-02,954,,76.8,,1.87,,5.90,,1.63,,2.49,,1.78,
1996-03,931,,82.7,,1.87,,6.29,,1.82,,2.59,,1.88,
1996-04,942,,96.7,,2.00,,6.97,,1.98,,2.81,,2.18,
1996-05,939,,97.8,,2.04,,7.24,,2.02,,2.87,,2.35,
1996-06,926,,100.0,,2.03,,7.45,,2.07,,3.04,,2.34,
1996-07,920,,95.6,,2.04,,7.20,,2.03,,2.86,,2.31,
1996-08,914,,96.3,,2.01,,7.36,,2.04,,3.00,,2.32,
1996-09,904,,96.2,,1.99,,7.26,,2.04,,2.94,,2.28,
1996-10,899,,92.4,,1.97,,7.20,,2.03,,2.90,,2.27,
1996-11,892,,91.7,,2.16,,7.38,,2.08,,2.98,,2.33,
1996-12,887,,92.9,,2.01,,7.52,,2.11,,3.02,,2.39,
1997-01,845,,73.8,,1.84,,6.52,,1.88,,2.56,,2.07,
1997-02,840,,85.0,,1.83,,6.95,,2.00,,2.79,,2.16,
1997-03,842,,85.1,,1.87,,7.20,,2.06,,2.85,,2.29,
1997-04,848,,86.2,,1.84,,6.99,,1.96,,2.78,,2.25,
1997-05,840,,85.8,,1.84,,6.93,,1.95,,2.75,,2.23,
1997-06,831,,86.1,,1.84,,6.91,,1.94,,2.75,,2.22,
1997-07,823,,86.4,,1.83,,6.71,,1.87,,2.67,,2.18,
1997-08,817,,84.0,,1.81,,6.65,,1.86,,2.63,,2.17,
1997-09,811,,84.6,,1.80,,6.62,,1.82,,2.64,,2.15,
1997-10,806,,83.8,,1.78,,6.72,,1.84,,2.68,,2.20,
1997-11,801,,82.6,,1.89,,6.64,,1.80,,2.62,,2.21,
1997-12,795,,82.2,,1.80,,6.67,,1.75,,2.66,,2.27,
1998-01,785,,80.1,,1.78,,6.96,,1.86,,2.72,,2.38,
1998-02,778,,78.1,,1.73,,6.64,,1.78,,2.64,,2.23,
1998-03,770,,78.7,,1.72,,7.54,,2.17,,2.87,,2.50,
1998-04,763,,76.2,,1.74,,6.19,,1.61,,2.45,,2.13,
1998-05,756,,77.1,,1.68,,6.09,,1.58,,2.42,,2.09,
1998-06,751,,77.4,,1.67,,6.20,,1.59,,2.50,,2.11,
1998-07,747,,77.2,,1.67,,6.26,,1.63,,2.51,,2.12,
1998-08,743,,75.9,,1.67,,6.15,,1.61,,2.48,,2.06,
1998-09,739,,75.1,,1.65,,6.12,,1.58,,2.45,,2.09,
1998-10,733,,73.3,,1.63,,6.06,,1.65,,2.41,,2.00,
1998-11,728,,71.9,,1.66,,6.00,,1.58,,2.45,,1.98,
1998-12,721,,69.6,,1.63,,5.92,,1.61,,2.36,,1.95,
1999-01,718,,75.9,,1.66,,6.51,,1.65,,2.64,,2.23,
1999-02,713,,67.0,,1.58,,6.07,,1.53,,2.45,,2.09,
1999-03,713,,75.6,,1.63,,6.11,,1.57,,2.44,,2.11,
1999-04,713,,73.6,,1.68,,6.48,,1.66,,2.57,,2.25,
1999-05,708,,73.3,,1.63,,6.33,,1.63,,2.57,,2.14,
1999-06,705,,72.7,,1.62,,6.28,,1.59,,2.53,,2.15,
1999-07,703,,73.3,,1.61,,6.34,,1.60,,2.60,,2.14,
1999-08,700,,71.9,,1.60,,6.19,,1.59,,2.53,,2.07,
1999-09,693,,71.5,,1.61,,6.31,,1.62,,2.56,,2.13,
1999-10,699,,72.6,,1.61,,6.36,,1.61,,2.59,,2.16,
1999-11,696,,70.8,,1.58,,6.22,,1.60,,2.50,,2.11,
