実質暦年,,,,,,,,,,,,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Calendar Year",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
,,居住者家計の海外での直接購入,（控除）非居住者家計の国内での直接購入,国内家計最終消費支出,,,,,,住宅,その他の建物・構築物,輸送用機械,その他の機械設備等,知的財産生産物,,うち在庫変動,,純輸出（再掲）,輸出（再掲）,,,輸入（再掲）,,
,,,,,耐久財,半耐久財,非耐久財,サービス,,,,,,,,,,,,財貨,サービス（含む非居住者家計の国内での直接購入）,,財貨,サービス（含む居住者家計の海外での直接購入）
,"Consumptionof Households(id, at §Ｉ)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Gross Fixed Capital Formation by Type,,,,,Gross CapitalFormation,Of WhichChange inInventories,,Goods & Services,,,,,,
,,,,,,,,,,ResidentialInvestment,Other Buildingsand Structures,TransportEquipment,OtherMachinery andEquipment etc.,IntellectualPropertyProducts,,,,"Net Exports(id, at §Ｉ)","Exports(id, at §Ｉ)",,,"Imports(id, at §Ｉ)",,
Calendar Year,,,,,,,,,,,,,,,,,,,,Goods,Services（Including DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,Services（Including DirectPurchasesAbroad byResidentHouseholds)
1994/1-12.,"245,437.7 ","5,814.0 ",250.2 ,"241,570.9 ","7,242.0 ","21,036.0 ","81,651.5 ","142,203.3 ",,"33,166.7 ","63,687.0 ","6,783.0 ","24,468.8 ","18,661.3 ","141,757.4 ",275.4 ,,"-8,619.7 ","38,313.2 ","32,403.6 ","5,950.5 ","46,932.8 ","32,303.5 ","13,847.9 "
1995/1-12.,"251,364.7 ","6,573.8 ",212.1 ,"247,114.3 ","8,318.2 ","21,660.4 ","83,789.8 ","142,233.7 ",,"31,977.2 ","64,247.2 ","7,053.9 ","27,509.3 ","19,241.6 ","147,787.2 ","1,830.9 ",,"-13,113.8 ","39,915.9 ","33,821.0 ","6,122.7 ","53,029.7 ","37,361.9 ","14,827.7 "
1996/1-12.,"256,286.2 ","6,409.0 ",319.1 ,"252,159.5 ","8,975.1 ","20,751.8 ","83,607.9 ","146,830.1 ",,"35,310.4 ","64,727.9 ","6,952.2 ","31,337.8 ","20,724.8 ","158,352.2 ","2,483.3 ",,"-17,425.0 ","41,844.9 ","34,797.1 ","7,253.9 ","59,269.9 ","42,037.0 ","16,308.8 "
1997/1-12.,"257,733.9 ","5,574.1 ",375.2 ,"254,038.6 ","9,064.5 ","20,192.2 ","82,394.5 ","150,214.3 ",,"32,044.9 ","61,624.2 ","6,712.5 ","32,693.4 ","21,842.3 ","155,710.6 ","2,853.5 ",,"-13,089.8 ","46,483.4 ","38,835.2 ","7,822.2 ","59,573.2 ","42,421.1 ","16,231.8 "
1998/1-12.,"255,469.0 ","4,702.5 ",357.4 ,"252,227.0 ","8,343.8 ","19,437.1 ","83,004.5 ","150,457.6 ",,"27,740.6 ","62,034.0 ","5,422.9 ","30,495.1 ","23,075.4 ","148,120.1 ","1,744.4 ",,"-10,163.1 ","45,356.8 ","38,047.6 ","7,432.5 ","55,519.9 ","39,212.8 ","15,435.9 "
1999/1-12.,"257,771.5 ","5,401.0 ",286.5 ,"254,048.3 ","8,816.9 ","17,774.2 ","83,772.8 ","152,231.3 ",,"27,678.6 ","60,033.1 ","5,710.5 ","30,165.3 ","23,364.0 ","141,410.0 ","-3,703.8 ",,"-11,311.2 ","46,264.2 ","39,385.9 ","6,842.1 ","57,575.5 ","41,431.5 ","15,317.0 "
2000/1-12.,"262,209.8 ","5,139.5 ",266.8 ,"258,585.4 ","9,920.2 ","17,572.6 ","83,706.4 ","154,497.6 ",,"27,816.1 ","58,248.0 ","6,178.1 ","31,136.6 ","24,168.9 ","145,529.9 ",-248.3 ,,"-10,791.5 ","52,289.6 ","44,727.9 ","7,477.3 ","63,081.1 ","47,554.1 ","14,842.5 "
2001/1-12.,"267,613.9 ","4,205.2 ",277.3 ,"264,447.9 ","11,260.3 ","17,587.9 ","85,101.9 ","156,196.9 ",,"26,912.9 ","55,546.7 ","6,375.5 ","30,962.9 ","25,468.6 ","143,949.8 ",169.0 ,,"-14,993.9 ","48,820.8 ","41,153.0 ","7,685.8 ","63,814.7 ","48,224.3 ","14,908.6 "
