名目暦年,,,,,,,,,,,,,,,,,,,,,,,,(単位:10億円)
"Nominal, Calendar Year",,,,,,,,,,,,,,,,,,,,,,,,(Billion Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
,,居住者家計の海外での直接購入,（控除）非居住者家計の国内での直接購入,国内家計最終消費支出,,,,,,住宅,その他の建物・構築物,輸送用機械,その他の機械設備等,知的財産生産物,,うち在庫変動,,純輸出（再掲）,輸出（再掲）,,,輸入（再掲）,,
,,,,,耐久財,半耐久財,非耐久財,サービス,,,,,,,,,,,,財貨,サービス（含む非居住者家計の国内での直接購入）,,財貨,サービス（含む居住者家計の海外での直接購入）
,"Consumptionof Households(id, at §Ｉ)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Gross Fixed Capital Formation by Type,,,,,Gross CapitalFormation,Of WhichChange inInventories,,Goods & Services,,,,,,
,,,,,,,,,,ResidentialInvestment,Other Buildingsand Structures,TransportEquipment,OtherMachinery andEquipment etc.,IntellectualPropertyProducts,,,,"Net Exports(id, at §Ｉ)","Exports(id, at §Ｉ)",,,"Imports(id, at §Ｉ)",,
Calendar Year,,,,,,,,,,,,,,,,,,,,Goods,Services（Including DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,Services（Including DirectPurchasesAbroad byResidentHouseholds)
1994/1-12.,"264,738.5 ","2,552.7 ",244.9 ,"262,430.7 ","22,612.6 ","22,797.7 ","74,637.7 ","142,382.6 ",,"31,927.3 ","59,950.0 ","7,099.2 ","38,760.3 ","18,712.4 ","156,608.6 ",159.4 ,,"9,550.9 ","45,164.1 ","39,334.4 ","5,829.7 ","35,613.3 ","24,542.8 ","11,070.5 "
1995/1-12.,"270,234.8 ","2,771.5 ",206.9 ,"267,670.2 ","24,622.5 ","23,296.7 ","75,495.1 ","144,255.9 ",,"30,559.8 ","60,269.1 ","7,314.8 ","42,318.5 ","19,182.0 ","161,354.0 ","1,709.7 ",,"6,482.7 ","45,987.9 ","40,245.3 ","5,742.6 ","39,505.1 ","27,836.0 ","11,669.1 "
1996/1-12.,"275,890.7 ","3,231.7 ",311.4 ,"272,970.3 ","25,160.7 ","22,257.9 ","74,946.0 ","150,605.7 ",,"33,870.4 ","60,917.5 ","7,225.1 ","46,389.2 ","20,705.0 ","171,524.2 ","2,416.9 ",,"2,022.4 ","49,891.6 ","43,015.3 ","6,876.3 ","47,869.2 ","33,980.7 ","13,888.5 "
1997/1-12.,"280,877.2 ","3,218.3 ",372.2 ,"278,031.2 ","24,799.5 ","21,914.5 ","75,008.6 ","156,308.7 ",,"31,242.0 ","58,436.0 ","7,002.4 ","47,422.5 ","22,133.5 ","169,099.0 ","2,862.6 ",,"5,347.8 ","56,440.1 ","48,880.1 ","7,560.0 ","51,092.3 ","36,509.1 ","14,583.2 "
1998/1-12.,"278,734.5 ","3,015.1 ",356.6 ,"276,076.0 ","22,222.4 ","21,239.5 ","75,595.3 ","157,018.8 ",,"26,555.8 ","57,731.2 ","5,630.6 ","43,677.5 ","23,505.2 ","158,754.0 ","1,653.7 ",,"9,358.8 ","55,655.2 ","48,289.9 ","7,365.4 ","46,296.4 ","32,211.7 ","14,084.7 "
1999/1-12.,"279,641.0 ","3,077.6 ",284.9 ,"276,848.4 ","22,873.7 ","19,243.9 ","76,175.9 ","158,554.9 ",,"26,154.1 ","54,915.0 ","5,814.6 ","41,944.9 ","23,794.5 ","148,918.0 ","-3,705.1 ",,"7,844.2 ","51,780.1 ","45,254.7 ","6,525.4 ","43,935.9 ","31,117.6 ","12,818.2 "
2000/1-12.,"281,784.3 ","2,819.5 ",263.0 ,"279,227.8 ","24,348.0 ","18,800.8 ","75,559.7 ","160,519.3 ",,"26,254.6 ","53,376.0 ","6,137.2 ","42,102.2 ","24,655.1 ","152,152.0 ",-373.2 ,,"7,306.4 ","56,023.4 ","48,963.5 ","7,059.9 ","48,717.0 ","36,265.2 ","12,451.8 "
2001/1-12.,"283,728.3 ","2,581.4 ",270.8 ,"281,417.7 ","25,247.5 ","18,457.9 ","76,358.5 ","161,353.8 ",,"25,122.2 ","50,290.0 ","6,282.7 ","39,956.7 ","25,781.2 ","147,560.3 ",127.5 ,,"3,158.0 ","53,573.7 ","46,036.7 ","7,536.9 ","50,415.7 ","37,189.8 ","13,225.9 "
