名目暦年,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Calendar Year",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
Calendar Year,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/1-12.,"510,916.1","269,405.2","264,738.5","229,692.0","30,524.4","80,036.5",-197.7,"75,351.5","45,888.3",357.0,"9,550.9","45,164.1","35,613.3",,"4,248.0","15,966.1","11,718.0","515,164.1",,"501,365.2","379,768.4","121,596.8",,"156,449.2",,"510,756.7",,,,,,
1995/1-12.,"521,613.5","275,118.9","270,234.8","233,616.3","29,031.8","84,743.5","1,596.8","78,657.9","45,869.0",112.9,"6,482.7","45,987.9","39,505.1",,"4,432.0","18,285.5","13,853.5","526,045.5",,"515,130.8","390,490.9","124,639.9",,"159,644.3",,"519,903.8",,,,,,
1996/1-12.,"535,562.1","280,899.7","275,890.7","237,674.3","32,313.1","88,500.0","2,164.4","81,115.9","48,294.2",252.5,"2,022.4","49,891.6","47,869.2",,"6,457.4","12,645.8","6,188.3","542,019.5",,"533,539.7","403,877.2","129,662.6",,"169,107.3",,"533,145.2",,,,,,
1997/1-12.,"543,545.4","285,925.6","280,877.2","240,976.4","29,648.3","91,151.6","2,683.7","83,173.0","45,436.6",178.8,"5,347.8","56,440.1","51,092.3",,"7,133.9","13,426.5","6,292.6","550,679.3",,"538,197.6","409,409.1","128,788.4",,"166,236.4",,"540,682.8",,,,,,
1998/1-12.,"536,497.4","284,340.0","278,734.5","237,591.6","25,188.1","88,985.6","1,735.4","84,044.5","42,926.6",-81.7,"9,358.8","55,655.2","46,296.4",,"6,625.6","12,527.3","5,901.7","543,122.9",,"527,138.5","400,249.1","126,889.4",,"157,100.3",,"534,843.7",,,,,,
1999/1-12.,"528,069.9","285,671.9","279,641.0","237,757.6","24,877.0","83,070.7","-3,585.5","85,635.9","44,675.5",-119.7,"7,844.2","51,780.1","43,935.9",,"6,483.7","10,723.4","4,239.7","534,553.6",,"520,225.7","390,034.1","130,191.7",,"152,623.1",,"531,775.0",,,,,,
