FREQUENCY;DATE;REGION_ID;REGION_NAME;REGION_NOTES;VARIABLE_NAME;VALUE;VARIABLE_ID
Annual;2001;IN-KA;Karnataka;;Decennial Population by Census;52850562.0;KN.DN.PP.CC
Annual;1991;IN-KL;Kerala;;Decennial Population by Census;29098518.0;KN.DN.PP.CC
Annual;2001;IN-KL;Kerala;;Decennial Population by Census;31841374.0;KN.DN.PP.CC
Annual;1911;IN-MP;Madhya Pradesh;;Decennial Population by Census;19440965.0;KN.DN.PP.CC
Annual;1971;IN-MP;Madhya Pradesh;;Decennial Population by Census;41654119.0;KN.DN.PP.CC
Annual;2001;IN-MP;Madhya Pradesh;;Decennial Population by Census;60348023.0;KN.DN.PP.CC
Annual;1971;IN-MN;Manipur;The population of India, Manipur State and Senapati District by sex includes estimated population and excludes the households of Mao Maram, Paomata and Purul sub divisions, as the census results for 2001 Census for these;Decennial Population by Census;1072753.0;KN.DN.PP.CC
Annual;1941;IN-ML;Meghalaya;;Decennial Population by Census;555820.0;KN.DN.PP.CC
Annual;1911;IN-PB;Punjab;;Decennial Population by Census;6731510.0;KN.DN.PP.CC
Annual;1921;IN-PB;Punjab;;Decennial Population by Census;7152811.0;KN.DN.PP.CC
Annual;1921;IN-RJ;Rajasthan;;Decennial Population by Census;10292648.0;KN.DN.PP.CC
Annual;1941;IN-TN;Tamil Nadu;;Decennial Population by Census;26267507.0;KN.DN.PP.CC
Annual;1971;IN-TN;Tamil Nadu;;Decennial Population by Census;41199168.0;KN.DN.PP.CC
Annual;1981;IN-TN;Tamil Nadu;;Decennial Population by Census;48408077.0;KN.DN.PP.CC
Annual;1911;IN-WB;West Bengal;;Decennial Population by Census;17998769.0;KN.DN.PP.CC
Annual;1951;IN-WB;West Bengal;;Decennial Population by Census;26299980.0;KN.DN.PP.CC
Annual;1931;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;29463.0;KN.DN.PP.CC
Annual;1971;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;115133.0;KN.DN.PP.CC
Annual;1991;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;280661.0;KN.DN.PP.CC
Annual;1921;IN-CH;Chandigarh;;Decennial Population by Census;18133.0;KN.DN.PP.CC
Annual;1921;IN-DN;Dadra and Nagar Haveli;;Decennial Population by Census;31048.0;KN.DN.PP.CC
Annual;1931;IN-DD;Daman & Diu;;Decennial Population by Census;36429.0;KN.DN.PP.CC
Annual;1951;IN-DD;Daman & Diu;;Decennial Population by Census;48611.0;KN.DN.PP.CC
Annual;1911;IN-LD;Lakshadweep;;Decennial Population by Census;14555.0;KN.DN.PP.CC
Annual;1981;IN-LD;Lakshadweep;;Decennial Population by Census;40249.0;KN.DN.PP.CC
Annual;1901;IN-PB;Punjab;;Decennial Population by Census;7544790.0;KN.DN.PP.CC
Annual;1961;IN-RJ;Rajasthan;;Decennial Population by Census;20155602.0;KN.DN.PP.CC
Annual;1911;IN-KA;Karnataka;;Decennial Population by Census;13525251.0;KN.DN.PP.CC
Annual;1921;IN-KL;Kerala;;Decennial Population by Census;7802127.0;KN.DN.PP.CC
Annual;1971;IN-KL;Kerala;;Decennial Population by Census;21347375.0;KN.DN.PP.CC
Annual;1921;IN-MH;Maharashtra;;Decennial Population by Census;20849666.0;KN.DN.PP.CC
Annual;1901;IN-MN;Manipur;The population of India, Manipur State and Senapati District by sex includes estimated population and excludes the households of Mao Maram, Paomata and Purul sub divisions, as the census results for 2001 Census for these;Decennial Population by Census;284465.0;KN.DN.PP.CC
Annual;1921;IN-MN;Manipur;The population of India, Manipur State and Senapati District by sex includes estimated population and excludes the households of Mao Maram, Paomata and Purul sub divisions, as the census results for 2001 Census for these;Decennial Population by Census;384016.0;KN.DN.PP.CC
Annual;1941;IN-MN;Manipur;The population of India, Manipur State and Senapati District by sex includes estimated population and excludes the households of Mao Maram, Paomata and Purul sub divisions, as the census results for 2001 Census for these;Decennial Population by Census;512069.0;KN.DN.PP.CC
Annual;1901;IN-MZ;Mizoram;;Decennial Population by Census;82434.0;KN.DN.PP.CC
Annual;1961;IN-MZ;Mizoram;;Decennial Population by Census;266063.0;KN.DN.PP.CC
Annual;1921;IN-NL;Nagaland;;Decennial Population by Census;158801.0;KN.DN.PP.CC
Annual;1901;IN-OR;Orissa;;Decennial Population by Census;10302917.0;KN.DN.PP.CC
Annual;1961;IN-OR;Orissa;;Decennial Population by Census;17548846.0;KN.DN.PP.CC
Annual;2001;IN-OR;Orissa;;Decennial Population by Census;36804660.0;KN.DN.PP.CC
Annual;1911;IN-SK;Sikkim;;Decennial Population by Census;87920.0;KN.DN.PP.CC
Annual;1951;IN-SK;Sikkim;;Decennial Population by Census;137725.0;KN.DN.PP.CC
Annual;1971;IN-SK;Sikkim;;Decennial Population by Census;209843.0;KN.DN.PP.CC
Annual;1981;IN-TR;Tripura;;Decennial Population by Census;2053058.0;KN.DN.PP.CC
Annual;1941;KN.IN;India;;Decennial Population by Census;318660580.0;KN.DN.PP.CC
Annual;1981;KN.IN;India;;Decennial Population by Census;683329097.0;KN.DN.PP.CC
Annual;1961;IN-AP;Andhra Pradesh;;Decennial Population by Census;35983447.0;KN.DN.PP.CC
Annual;1961;IN-AR;Arunachal Pradesh;;Decennial Population by Census;336558.0;KN.DN.PP.CC
Annual;1991;IN-AR;Arunachal Pradesh;;Decennial Population by Census;864558.0;KN.DN.PP.CC
Annual;1931;IN-AS;Assam;;Decennial Population by Census;5560371.0;KN.DN.PP.CC
Annual;1951;IN-AS;Assam;;Decennial Population by Census;8028856.0;KN.DN.PP.CC
Annual;2001;IN-AS;Assam;;Decennial Population by Census;26655528.0;KN.DN.PP.CC
Annual;2001;IN-BR;Bihar;;Decennial Population by Census;82998509.0;KN.DN.PP.CC
Annual;1951;IN-GA;Goa;;Decennial Population by Census;547448.0;KN.DN.PP.CC
Annual;1901;IN-GJ;Gujarat;;Decennial Population by Census;9094748.0;KN.DN.PP.CC
Annual;1941;IN-GJ;Gujarat;;Decennial Population by Census;13701551.0;KN.DN.PP.CC
Annual;1981;IN-GJ;Gujarat;;Decennial Population by Census;34085799.0;KN.DN.PP.CC
Annual;2001;IN-GJ;Gujarat;;Decennial Population by Census;50671017.0;KN.DN.PP.CC
Annual;1921;IN-HR;Haryana;;Decennial Population by Census;4255892.0;KN.DN.PP.CC
Annual;1971;IN-HR;Haryana;;Decennial Population by Census;10036431.0;KN.DN.PP.CC
Annual;1911;IN-HP;Himachal Pradesh;;Decennial Population by Census;1896944.0;KN.DN.PP.CC
Annual;1931;IN-HP;Himachal Pradesh;;Decennial Population by Census;2029113.0;KN.DN.PP.CC
Annual;1951;IN-HP;Himachal Pradesh;;Decennial Population by Census;2385981.0;KN.DN.PP.CC
Annual;1931;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;2670208.0;KN.DN.PP.CC
Annual;1941;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;2946728.0;KN.DN.PP.CC
Annual;2001;IN-JH;Jharkhand;;Decennial Population by Census;26945829.0;KN.DN.PP.CC
Annual;1961;KN.IN;India;;Decennial Population by Census;439234771.0;KN.DN.PP.CC
Annual;1971;IN-BR;Bihar;;Decennial Population by Census;56353369.0;KN.DN.PP.CC
Annual;2001;IN-GA;Goa;;Decennial Population by Census;1347668.0;KN.DN.PP.CC
Annual;1901;IN-HR;Haryana;;Decennial Population by Census;4623064.0;KN.DN.PP.CC
Annual;1921;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;2424359.0;KN.DN.PP.CC
Annual;2001;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;10143700.0;KN.DN.PP.CC
Annual;1961;IN-KL;Kerala;;Decennial Population by Census;16903715.0;KN.DN.PP.CC
Annual;1901;IN-MP;Madhya Pradesh;;Decennial Population by Census;16860768.0;KN.DN.PP.CC
Annual;1961;IN-MP;Madhya Pradesh;;Decennial Population by Census;32372408.0;KN.DN.PP.CC
Annual;1961;IN-ML;Meghalaya;;Decennial Population by Census;769380.0;KN.DN.PP.CC
Annual;1971;IN-ML;Meghalaya;;Decennial Population by Census;1011699.0;KN.DN.PP.CC
Annual;2001;IN-NL;Nagaland;;Decennial Population by Census;1990036.0;KN.DN.PP.CC
Annual;1951;IN-PB;Punjab;;Decennial Population by Census;9160500.0;KN.DN.PP.CC
Annual;1941;IN-RJ;Rajasthan;;Decennial Population by Census;13863859.0;KN.DN.PP.CC
Annual;1951;IN-KA;Karnataka;;Decennial Population by Census;19401956.0;KN.DN.PP.CC
Annual;1981;IN-KA;Karnataka;;Decennial Population by Census;37135714.0;KN.DN.PP.CC
Annual;1901;IN-MH;Maharashtra;;Decennial Population by Census;19391643.0;KN.DN.PP.CC
Annual;1911;IN-MH;Maharashtra;;Decennial Population by Census;21474523.0;KN.DN.PP.CC
Annual;1991;IN-MH;Maharashtra;;Decennial Population by Census;78937187.0;KN.DN.PP.CC
Annual;1921;KN.IN;India;;Decennial Population by Census;251321213.0;KN.DN.PP.CC
Annual;1991;IN-GA;Goa;;Decennial Population by Census;1169793.0;KN.DN.PP.CC
Annual;1961;IN-GJ;Gujarat;;Decennial Population by Census;20633350.0;KN.DN.PP.CC
Annual;1981;IN-HP;Himachal Pradesh;;Decennial Population by Census;4280818.0;KN.DN.PP.CC
Annual;1981;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;5987389.0;KN.DN.PP.CC
Annual;1931;IN-MH;Maharashtra;;Decennial Population by Census;23959300.0;KN.DN.PP.CC
Annual;1911;IN-ML;Meghalaya;;Decennial Population by Census;394005.0;KN.DN.PP.CC
Annual;1911;IN-NL;Nagaland;;Decennial Population by Census;149038.0;KN.DN.PP.CC
Annual;1931;IN-OR;Orissa;;Decennial Population by Census;12491056.0;KN.DN.PP.CC
Annual;1991;IN-NL;Nagaland;;Decennial Population by Census;1209546.0;KN.DN.PP.CC
Annual;1991;KN.IN;India;;Decennial Population by Census;846421039.0;KN.DN.PP.CC
Annual;2001;IN-AP;Andhra Pradesh;;Decennial Population by Census;76210007.0;KN.DN.PP.CC
Annual;1941;IN-AS;Assam;;Decennial Population by Census;6694790.0;KN.DN.PP.CC
Annual;1901;IN-BR;Bihar;;Decennial Population by Census;27311865.0;KN.DN.PP.CC
Annual;1951;IN-BR;Bihar;;Decennial Population by Census;29085017.0;KN.DN.PP.CC
Annual;1931;IN-NL;Nagaland;;Decennial Population by Census;178844.0;KN.DN.PP.CC
Annual;1911;IN-OR;Orissa;;Decennial Population by Census;11378875.0;KN.DN.PP.CC
Annual;1981;IN-PB;Punjab;;Decennial Population by Census;16788915.0;KN.DN.PP.CC
Annual;1931;IN-RJ;Rajasthan;;Decennial Population by Census;11747974.0;KN.DN.PP.CC
Annual;1991;IN-RJ;Rajasthan;;Decennial Population by Census;44005990.0;KN.DN.PP.CC
Annual;1901;IN-TN;Tamil Nadu;;Decennial Population by Census;19252630.0;KN.DN.PP.CC
Annual;1911;IN-TN;Tamil Nadu;;Decennial Population by Census;20902616.0;KN.DN.PP.CC
Annual;1921;IN-TN;Tamil Nadu;;Decennial Population by Census;21628518.0;KN.DN.PP.CC
Annual;1951;IN-TN;Tamil Nadu;;Decennial Population by Census;30119047.0;KN.DN.PP.CC
Annual;1961;IN-TN;Tamil Nadu;;Decennial Population by Census;33686953.0;KN.DN.PP.CC
Annual;1991;IN-TN;Tamil Nadu;;Decennial Population by Census;55858946.0;KN.DN.PP.CC
Annual;1911;IN-TR;Tripura;;Decennial Population by Census;229613.0;KN.DN.PP.CC
Annual;1901;IN-WB;West Bengal;;Decennial Population by Census;16940088.0;KN.DN.PP.CC
Annual;1941;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;33768.0;KN.DN.PP.CC
Annual;1951;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;30971.0;KN.DN.PP.CC
Annual;1981;IN-CH;Chandigarh;;Decennial Population by Census;451610.0;KN.DN.PP.CC
Annual;1901;IN-DN;Dadra and Nagar Haveli;;Decennial Population by Census;24280.0;KN.DN.PP.CC
Annual;1911;IN-DN;Dadra and Nagar Haveli;;Decennial Population by Census;29020.0;KN.DN.PP.CC
Annual;1931;IN-DN;Dadra and Nagar Haveli;;Decennial Population by Census;38260.0;KN.DN.PP.CC
Annual;1911;IN-DL;Delhi;;Decennial Population by Census;413851.0;KN.DN.PP.CC
Annual;1951;IN-DL;Delhi;;Decennial Population by Census;1744072.0;KN.DN.PP.CC
Annual;1901;IN-LD;Lakshadweep;;Decennial Population by Census;13882.0;KN.DN.PP.CC
Annual;1921;IN-LD;Lakshadweep;;Decennial Population by Census;13637.0;KN.DN.PP.CC
Annual;1941;IN-LD;Lakshadweep;;Decennial Population by Census;18355.0;KN.DN.PP.CC
Annual;1961;IN-LD;Lakshadweep;;Decennial Population by Census;24108.0;KN.DN.PP.CC
Annual;1911;IN-PY;Pondicherry;;Decennial Population by Census;257179.0;KN.DN.PP.CC
Annual;1931;IN-PY;Pondicherry;;Decennial Population by Census;258628.0;KN.DN.PP.CC
Annual;1991;IN-PY;Pondicherry;;Decennial Population by Census;807785.0;KN.DN.PP.CC
Annual;2011;IN-GA;Goa;;Decennial Population by Census;1458545.0;KN.DN.PP.CC
Annual;2001;IN-UP;Uttar Pradesh;;Decennial Population by Census;8489349.0;KN.DN.PP.CC
Annual;1931;IN-UT;Uttarakhand;;Decennial Population by Census;49779552.0;KN.DN.PP.CC
Annual;1961;IN-UT;Uttarakhand;;Decennial Population by Census;73754573.0;KN.DN.PP.CC
Annual;1921;IN-PY;Pondicherry;;Decennial Population by Census;244156.0;KN.DN.PP.CC
Annual;2011;IN-HP;Himachal Pradesh;;Decennial Population by Census;6864602.0;KN.DN.PP.CC
Annual;1971;IN-UT;Uttarakhand;;Decennial Population by Census;88341521.0;KN.DN.PP.CC
Annual;2011;IN-AN;Andaman and Nicobar Islands;;Decennial Population by Census;380581.0;KN.DN.PP.CC
Annual;1901;IN-PY;Pondicherry;;Decennial Population by Census;246354.0;KN.DN.PP.CC
Annual;1921;IN-UT;Uttarakhand;;Decennial Population by Census;46672411.0;KN.DN.PP.CC
Annual;1901;KN.IN;India;;Decennial Population by Census;238396327.0;KN.DN.PP.CC
Annual;1971;KN.IN;India;;Decennial Population by Census;548159652.0;KN.DN.PP.CC
Annual;1981;IN-AP;Andhra Pradesh;;Decennial Population by Census;53551026.0;KN.DN.PP.CC
Annual;1981;IN-AR;Arunachal Pradesh;;Decennial Population by Census;631839.0;KN.DN.PP.CC
Annual;1901;IN-AS;Assam;;Decennial Population by Census;3289680.0;KN.DN.PP.CC
Annual;1931;IN-GJ;Gujarat;;Decennial Population by Census;11489828.0;KN.DN.PP.CC
Annual;1991;IN-HP;Himachal Pradesh;;Decennial Population by Census;5170877.0;KN.DN.PP.CC
Annual;2001;IN-HP;Himachal Pradesh;;Decennial Population by Census;6077900.0;KN.DN.PP.CC
Annual;1991;IN-JK;Jammu & Kashmir;Area figures includes the area under unlawaful occupation of Pakistan and China.  The area includes 78,114 sq.km.     under illegal occupation of Pakistan,   5,180 sq. km.illegally  handed over by Pakistan to China and 37,555 sq.km.   under illegal  occup;Decennial Population by Census;7837051.0;KN.DN.PP.CC
Annual;1901;IN-KA;Karnataka;;Decennial Population by Census;13054754.0;KN.DN.PP.CC
Annual;1921;IN-KA;Karnataka;;Decennial Population by Census;13377599.0;KN.DN.PP.CC
Annual;1961;IN-KA;Karnataka;;Decennial Population by Census;23586772.0;KN.DN.PP.CC
Annual;1911;IN-KL;Kerala;;Decennial Population by Census;7147673.0;KN.DN.PP.CC
Annual;1981;IN-KL;Kerala;;Decennial Population by Census;25453680.0;KN.DN.PP.CC
Annual;1931;IN-MP;Madhya Pradesh;;Decennial Population by Census;21355657.0;KN.DN.PP.CC
Annual;1951;IN-MP;Madhya Pradesh;;Decennial Population by Census;18614931.0;KN.DN.PP.CC
Annual;1981;IN-MP;Madhya Pradesh;;Decennial Population by Census;52178844.0;KN.DN.PP.CC
Annual;1981;IN-MH;Maharashtra;;Decennial Population by Census;62782818.0;KN.DN.PP.CC
Annual;1951;IN-MN;Manipur;The population of India, Manipur State and Senapati District by sex includes estimated population and excludes the households of Mao Maram, Paomata and Purul sub divisions, as the census results for 2001 Census for these;Decennial Population by Census;577635.0;KN.DN.PP.CC
Annual;1951;IN-ML;Meghalaya;;Decennial Population by Census;605674.0;KN.DN.PP.CC
Annual;2001;IN-ML;Meghalaya;;Decennial Population by Census;2318822.0;KN.DN.PP.CC
Annual;1911;IN-MZ;Mizoram;;Decennial Population by Census;91204.0;KN.DN.PP.CC
Annual;1931;IN-MZ;Mizoram;;Decennial Population by Census;124404.0;KN.DN.PP.CC
Annual;1941;IN-MZ;Mizoram;;Decennial Population by Census;152786.0;KN.DN.PP.CC
