DATE;FREQUENCY;REGION_ID;REGION_NAME;VARIABLE_NAME;VALUE;VARIABLE_UNIT;VARIABLE_ID
2002;Annual;KN.IND;India;Birth Rate, Rural;26.6;births per 100 women;KN.BR
2008;Annual;KN.IND;India;Birth Rate, Rural;24.4;births per 100 women;KN.BR
2002;Annual;KN.IND;India;Death Rate, Total;8.1;deaths per 1,000 population;KN.DT
2007;Annual;KN.IND;India;Death Rate, Rural;8.0;deaths per 1,000 population;KN.DR
2003;Annual;KN.IND;India;Death Rate, Urban;6.0;deaths per 1,000 population;KN.DU
2003;Annual;KN.IND;India;Infant Mortality Rate(IMR), Rural;66.0;deaths per 1,000 live births;KN.IR
2008;Annual;KN.IND;India;Infant Mortality Rate(IMR), Rural;58.0;deaths per 1,000 live births;KN.IR
2008;Annual;KN.IND;India;Birth Rate, Total;22.8;births per 100 women;KN.BT
2001;Annual;KN.IND;India;Death Rate, Urban;6.3;deaths per 1,000 population;KN.DU
2007;Annual;KN.IND;India;Birth Rate, Total;23.1;births per 100 women;KN.BT
2004;Annual;KN.IND;India;Birth Rate, Rural;25.9;births per 100 women;KN.BR
2006;Annual;KN.IND;India;Death Rate, Total;7.5;deaths per 1,000 population;KN.DT
2004;Annual;KN.IND;India;Infant Mortality Rate(IMR), Total;58.0;deaths per 1,000 live births;KN.IT
2008;Annual;KN.IND;India;Infant Mortality Rate(IMR), Total;53.0;deaths per 1,000 live births;KN.IT
2002;Annual;KN.IND;India;Birth Rate, Urban;20.0;births per 100 women;KN.BU
2004;Annual;KN.IND;India;Death Rate, Total;7.5;deaths per 1,000 population;KN.DT
2005;Annual;KN.IND;India;Death Rate, Total;7.6;deaths per 1,000 population;KN.DT
2008;Annual;KN.IND;India;Death Rate, Total;7.4;deaths per 1,000 population;KN.DT
2006;Annual;KN.IND;India;Death Rate, Rural;8.1;deaths per 1,000 population;KN.DR
2004;Annual;KN.IND;India;Death Rate, Urban;5.8;deaths per 1,000 population;KN.DU
2007;Annual;KN.IND;India;Death Rate, Urban;6.0;deaths per 1,000 population;KN.DU
2005;Annual;KN.IND;India;Infant Mortality Rate(IMR), Total;58.0;deaths per 1,000 live births;KN.IT
2006;Annual;KN.IND;India;Infant Mortality Rate(IMR), Total;57.0;deaths per 1,000 live births;KN.IT
2006;Annual;KN.IND;India;Infant Mortality Rate(IMR), Urban;39.0;deaths per 1,000 live births;KN.IU
2001;Annual;KN.IND;India;Birth Rate, Total;25.4;births per 100 women;KN.BT
2006;Annual;KN.IND;India;Birth Rate, Total;23.5;births per 100 women;KN.BT
2001;Annual;KN.IND;India;Birth Rate, Rural;27.1;births per 100 women;KN.BR
2001;Annual;KN.IND;India;Birth Rate, Urban;20.3;births per 100 women;KN.BU
