Value;Year;Region;Chapter;Table;Indicator;Energy Source
32.249216;2015-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
43.842;2015-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
;2020-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
241841.64;2016-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
539.95;2011-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
52.22;2010-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
214024.08;2011-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
38.09;2011-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
238908.43;2014-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
532.04;2009-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
40.68;2012-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
299465.0;2018-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
492.757;2008-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
;2020-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
657.868;2016-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
42.103;2019-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
47.56;2011-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
33.98;2007-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
35.406881;2013-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
37.68;2010-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
33.657439;2014-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Natural Gas
;2005-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
162553.72;2007-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
179926.46;2010-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Electricity
639.23;2015-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
730.873;2019-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Coal
46.453;2012-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
;2020-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Lignite
;2020-01-01;India;Production of Commercial Sources of Energy;3.1 : Trends in Production of Primary Sources of Conventional Energy;Trends in Production of Primary Sources of Conventional Energy;Crude Oil
