Series code,PR01'PRCG15_2200000000,PR01'PRCG15_2200010001,PR01'PRCG15_2200120001,PR01'PRCG15_2200220001,PR01'PRCG15_2200520001,PR01'PRCG15_2200620001,PR01'PRCG15_2200920001,PR02'PRCS15_5200000000,PR01'PRCG15_2400000000,PR01'PRCG15_2600000000,IR01'MADR1M,FM02'STRACLUCON

Name of time-series,"[Producer Price Index] All commodities","Major group/ Manufacturing industry products","Group/_Beverages & foods","Group/_Textile products","Group/_Chemicals & related products","Group/_Petroleum & coal products","Group/_Iron & steel","[Services Producer Price Index] All items","[Export Price Index / yen basis] All commodities","[Import Price Index / yen basis] All commodities","The Basic Discount Rate and Basic Loan Rate","Call Rate, Uncollateralized Overnight/Average"

Unit,"CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","CY2015 average=100","Percent per annum","percent per annum"

Statistical category,"Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Corporate Goods Price Index (2015 Base)/ Producer Price Index","Services Producer Price Index (2015 base)","Corporate Goods Price Index (2015 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2015 Base)/ Import Price Index (yen basis)","The Basic Discount Rates and Basic Loan Rates","Call Rate (Monthly)"
Observation,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","END","AVERAGED"
start of time-series,"1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1985/01","1960/01","1960/01","1882/10","1985/07"
End of time-series,"2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02","2022/02"
Frequency,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY,MONTHLY

Notes,"Number of Commodity:746, Weights:1000","Number of Commodity:703, Weights:888.3","Number of Commodity:109, Weights:141.6","Number of Commodity:31, Weights:9.6","Number of Commodity:111, Weights:89.2","Number of Commodity:12, Weights:59.5","Number of Commodity:37, Weights:51.7","Number of Item:146, Weights:1000","Number of Commodity:209, Weights:1000","Number of Commodity:258, Weights:1000","",""

1901/01,,,,,,,,,,,8.76,
1901/02,,,,,,,,,,,8.76,
1901/03,,,,,,,,,,,8.76,
1901/04,,,,,,,,,,,8.76,
1901/05,,,,,,,,,,,8.76,
1901/06,,,,,,,,,,,8.76,
1901/07,,,,,,,,,,,8.76,
1901/08,,,,,,,,,,,8.76,
1901/09,,,,,,,,,,,8.76,
1901/10,,,,,,,,,,,8.76,
1901/11,,,,,,,,,,,8.76,
1901/12,,,,,,,,,,,8.76,
1902/01,,,,,,,,,,,8.76,
1902/02,,,,,,,,,,,8.76,
1902/03,,,,,,,,,,,8.03,
1902/04,,,,,,,,,,,8.03,
1902/05,,,,,,,,,,,8.03,
1902/06,,,,,,,,,,,7.3,
1902/07,,,,,,,,,,,7.3,
1902/08,,,,,,,,,,,7.3,
1902/09,,,,,,,,,,,7.3,
1902/10,,,,,,,,,,,6.57,
1902/11,,,,,,,,,,,6.57,
1902/12,,,,,,,,,,,6.21,
1903/01,,,,,,,,,,,6.21,
1903/02,,,,,,,,,,,6.21,
1903/03,,,,,,,,,,,5.84,
1903/04,,,,,,,,,,,5.84,
1903/05,,,,,,,,,,,5.84,
1903/06,,,,,,,,,,,5.84,
1903/07,,,,,,,,,,,5.84,
1903/08,,,,,,,,,,,5.84,
1903/09,,,,,,,,,,,5.84,
1903/10,,,,,,,,,,,5.84,
1903/11,,,,,,,,,,,5.84,
1903/12,,,,,,,,,,,5.84,
1904/01,,,,,,,,,,,5.84,
1904/02,,,,,,,,,,,5.84,
1904/03,,,,,,,,,,,5.84,
1904/04,,,,,,,,,,,5.84,
1904/05,,,,,,,,,,,5.84,
1904/06,,,,,,,,,,,5.84,
1904/07,,,,,,,,,,,6.57,
1904/08,,,,,,,,,,,6.57,
1904/09,,,,,,,,,,,6.57,
1904/10,,,,,,,,,,,6.57,
1904/11,,,,,,,,,,,6.57,
1904/12,,,,,,,,,,,7.3,
1905/01,,,,,,,,,,,7.3,
1905/02,,,,,,,,,,,7.3,
1905/03,,,,,,,,,,,7.3,
1905/04,,,,,,,,,,,7.3,
1905/05,,,,,,,,,,,7.3,
1905/06,,,,,,,,,,,8.03,
1905/07,,,,,,,,,,,8.03,
1905/08,,,,,,,,,,,8.03,
1905/09,,,,,,,,,,,8.03,
1905/10,,,,,,,,,,,8.03,
1905/11,,,,,,,,,,,8.03,
1905/12,,,,,,,,,,,8.03,
1906/01,,,,,,,,,,,8.03,
1906/02,,,,,,,,,,,8.03,
1906/03,,,,,,,,,,,7.3,
1906/04,,,,,,,,,,,7.3,
1906/05,,,,,,,,,,,6.57,
1906/06,,,,,,,,,,,6.57,
1906/07,,,,,,,,,,,6.57,
1906/08,,,,,,,,,,,6.57,
1906/09,,,,,,,,,,,6.57,
1906/10,,,,,,,,,,,6.57,
1906/11,,,,,,,,,,,6.57,
1906/12,,,,,,,,,,,6.57,
1907/01,,,,,,,,,,,6.57,
1907/02,,,,,,,,,,,6.57,
1907/03,,,,,,,,,,,6.57,
1907/04,,,,,,,,,,,6.57,
1907/05,,,,,,,,,,,6.57,
1907/06,,,,,,,,,,,6.57,
1907/07,,,,,,,,,,,6.57,
1907/08,,,,,,,,,,,6.57,
1907/09,,,,,,,,,,,6.57,
1907/10,,,,,,,,,,,6.57,
1907/11,,,,,,,,,,,6.57,
1907/12,,,,,,,,,,,7.3,
1908/01,,,,,,,,,,,7.3,
1908/02,,,,,,,,,,,7.3,
1908/03,,,,,,,,,,,7.3,
1908/04,,,,,,,,,,,7.3,
1908/05,,,,,,,,,,,7.3,
1908/06,,,,,,,,,,,7.3,
1908/07,,,,,,,,,,,7.3,
1908/08,,,,,,,,,,,7.3,
1908/09,,,,,,,,,,,7.3,
1908/10,,,,,,,,,,,7.3,
1908/11,,,,,,,,,,,7.3,
1908/12,,,,,,,,,,,7.3,
1909/01,,,,,,,,,,,7.3,
1909/02,,,,,,,,,,,7.3,
1909/03,,,,,,,,,,,7.3,
1909/04,,,,,,,,,,,7.3,
1909/05,,,,,,,,,,,6.57,
1909/06,,,,,,,,,,,6.57,
1909/07,,,,,,,,,,,6.57,
1909/08,,,,,,,,,,,5.84,
1909/09,,,,,,,,,,,5.84,
1909/10,,,,,,,,,,,5.84,
1909/11,,,,,,,,,,,5.84,
1909/12,,,,,,,,,,,5.84,
1910/01,,,,,,,,,,,5.11,
1910/02,,,,,,,,,,,5.11,
1910/03,,,,,,,,,,,4.75,
1910/04,,,,,,,,,,,4.75,
1910/05,,,,,,,,,,,4.75,
1910/06,,,,,,,,,,,4.75,
1910/07,,,,,,,,,,,4.75,
1910/08,,,,,,,,,,,4.75,
1910/09,,,,,,,,,,,4.75,
1910/10,,,,,,,,,,,4.75,
1910/11,,,,,,,,,,,4.75,
1910/12,,,,,,,,,,,4.75,
1911/01,,,,,,,,,,,4.75,
1911/02,,,,,,,,,,,4.75,
1911/03,,,,,,,,,,,4.75,
1911/04,,,,,,,,,,,4.75,
1911/05,,,,,,,,,,,4.75,
1911/06,,,,,,,,,,,4.75,
1911/07,,,,,,,,,,,4.75,
1911/08,,,,,,,,,,,4.75,
1911/09,,,,,,,,,,,5.48,
1911/10,,,,,,,,,,,5.48,
1911/11,,,,,,,,,,,5.48,
1911/12,,,,,,,,,,,5.48,
1912/01,,,,,,,,,,,5.48,
1912/02,,,,,,,,,,,5.84,
1912/03,,,,,,,,,,,5.84,
1912/04,,,,,,,,,,,5.84,
1912/05,,,,,,,,,,,5.84,
1912/06,,,,,,,,,,,5.84,
1912/07,,,,,,,,,,,5.84,
1912/08,,,,,,,,,,,5.84,
1912/09,,,,,,,,,,,5.84,
1912/10,,,,,,,,,,,6.21,
1912/11,,,,,,,,,,,6.57,
1912/12,,,,,,,,,,,6.57,
1913/01,,,,,,,,,,,6.57,
1913/02,,,,,,,,,,,6.57,
1913/03,,,,,,,,,,,6.57,
1913/04,,,,,,,,,,,6.57,
1913/05,,,,,,,,,,,6.57,
1913/06,,,,,,,,,,,6.57,
1913/07,,,,,,,,,,,6.57,
1913/08,,,,,,,,,,,6.57,
1913/09,,,,,,,,,,,6.57,
1913/10,,,,,,,,,,,6.57,
1913/11,,,,,,,,,,,6.57,
1913/12,,,,,,,,,,,6.57,
1914/01,,,,,,,,,,,6.57,
1914/02,,,,,,,,,,,6.57,
1914/03,,,,,,,,,,,6.57,
1914/04,,,,,,,,,,,6.57,
1914/05,,,,,,,,,,,6.57,
1914/06,,,,,,,,,,,6.57,
1914/07,,,,,,,,,,,7.3,
1914/08,,,,,,,,,,,7.3,
1914/09,,,,,,,,,,,7.3,
1914/10,,,,,,,,,,,7.3,
1914/11,,,,,,,,,,,7.3,
1914/12,,,,,,,,,,,7.3,
1915/01,,,,,,,,,,,7.3,
1915/02,,,,,,,,,,,7.3,
1915/03,,,,,,,,,,,7.3,
1915/04,,,,,,,,,,,7.3,
1915/05,,,,,,,,,,,7.3,
1915/06,,,,,,,,,,,7.3,
1915/07,,,,,,,,,,,7.3,
1915/08,,,,,,,,,,,7.3,
1915/09,,,,,,,,,,,7.3,
1915/10,,,,,,,,,,,7.3,
1915/11,,,,,,,,,,,7.3,
1915/12,,,,,,,,,,,7.3,
1916/01,,,,,,,,,,,7.3,
1916/02,,,,,,,,,,,7.3,
1916/03,,,,,,,,,,,7.3,
1916/04,,,,,,,,,,,6.57,
1916/05,,,,,,,,,,,6.57,
